token	bucket	subtype	universality	total_count	c_tinystories	c_control	c_novice	c_expert	zipf	is_propn	is_name_cased	lemma	lemma_resolves	store_match
roger	named_entity	candidate	1	9	9	0	0	0	4.39	1	1		0	0
simplified	domain_term		1	9	0	0	0	9	3.69	0	0	simplify	0	0
spoiled	inflection_miss		1	9	9	0	0	0	3.81	0	0	spoil	1	0
sylvester	named_entity	candidate	1	9	9	0	0	0	3.25	1	1		0	0
travellers	domain_term		1	9	0	0	9	0	3.68	0	0	traveller	0	0
uh	named_entity	candidate	1	9	9	0	0	0	4.26	0	1		0	0
zoomy	named_entity	candidate	1	9	9	0	0	0	1.25	1	1		0	0
acceptor	named_entity	candidate	1	8	8	0	0	0	2.75	1	1		0	0
adam	named_entity	candidate	1	8	8	0	0	0	4.57	1	1		0	0
ali	named_entity	candidate	1	8	8	0	0	0	4.31	1	1		0	0
beloved	local		1	8	8	0	0	0	4.17	0	0		0	0
bluey	named_entity	candidate	1	8	8	0	0	0	2.21	1	1		0	0
chirpie	named_entity	candidate	1	8	8	0	0	0	0.0	1	1		0	0
dan	named_entity	candidate	1	8	8	0	0	0	4.51	1	1		0	0
e.	junk	structural	1	8	0	0	0	8	5.28	1	0		0	0
enjoyed	inflection_miss		1	8	8	0	0	0	4.59	0	0	enjoy	1	0
exhausted	inflection_miss		1	8	8	0	0	0	4.08	0	0	exhaust	1	0
gemma	named_entity	candidate	1	8	8	0	0	0	3.33	1	1		0	0
harper	named_entity	candidate	1	8	8	0	0	0	4.04	1	1		0	0
irish	named_entity	candidate	1	8	0	0	0	8	4.54	1	1		0	0
israeli	named_entity	candidate	1	8	0	0	0	8	4.4	0	1		0	0
jackie	named_entity	candidate	1	8	8	0	0	0	3.97	1	1		0	0
janie	named_entity	candidate	1	8	8	0	0	0	2.76	1	1		0	0
jenna	named_entity	candidate	1	8	8	0	0	0	3.54	1	1		0	0
jennifer	named_entity	candidate	1	8	8	0	0	0	4.19	1	1		0	0
jessica	named_entity	candidate	1	8	8	0	0	0	4.17	1	1		0	0
katie	named_entity	candidate	1	8	8	0	0	0	3.96	1	1		0	0
litre	domain_term		1	8	0	0	8	0	3.5	0	0		0	0
lizzy	named_entity	candidate	1	8	8	0	0	0	3.06	1	1		0	0
mazzy	named_entity	candidate	1	8	8	0	0	0	1.89	1	1		0	0
meri	named_entity	candidate	1	8	8	0	0	0	2.68	1	1		0	0
nan	named_entity	candidate	1	8	8	0	0	0	3.49	1	1		0	0
pap	named_entity	candidate	1	8	8	0	0	0	3.28	1	1		0	0
rulings	named_entity	candidate	1	8	0	0	0	8	3.39	1	1	ruling	0	0
sal	named_entity	candidate	1	8	8	0	0	0	3.48	1	1		0	0
spidey	named_entity	candidate	1	8	8	0	0	0	2.75	1	1		0	0
t	junk	structural	1	8	8	0	0	0	5.43	1	1		0	0
taxation	named_entity	candidate	1	8	0	0	0	8	3.81	1	1		0	0
tca	named_entity	candidate	1	8	0	0	0	8	2.78	1	1		0	0
tolerance	domain_term		1	8	0	0	0	8	4.06	0	0		0	0
verification	domain_term		1	8	0	0	0	8	3.7	0	0		0	0
wco	named_entity	candidate	1	8	0	0	0	8	1.58	1	1		0	0
abolished	domain_term		1	7	0	0	0	7	3.62	0	0	abolish	0	0
arts	named_entity	candidate	1	7	0	0	0	7	4.7	1	1	art	1	0
baltic	named_entity	candidate	1	7	0	0	0	7	3.57	1	1		0	0
bea	named_entity	candidate	1	7	7	0	0	0	3.34	1	1		0	0
beartie	named_entity	candidate	1	7	7	0	0	0	0.0	1	1		0	0
biggy	named_entity	candidate	1	7	7	0	0	0	2.0	1	1		0	0
buggy	named_entity	candidate	1	7	7	0	0	0	3.32	1	1		0	0
carriers	domain_term		1	7	0	0	0	7	4.02	0	0	carrier	0	0
cherie	named_entity	candidate	1	7	7	0	0	0	2.84	1	1		0	0
chirping	inflection_miss		1	7	7	0	0	0	2.87	0	0	chirp	1	0
cif	named_entity	candidate	1	7	0	0	0	7	2.71	1	1		0	0
clarice	named_entity	candidate	1	7	7	0	0	0	2.6	1	1		0	0
competent	domain_term		1	7	0	0	0	7	3.92	0	0		0	0
consignment	domain_term		1	7	0	0	0	7	3.0	0	0		0	0
continental	named_entity	candidate	1	7	0	0	0	7	4.02	1	1		0	0
elin	named_entity	candidate	1	7	7	0	0	0	2.53	1	1		0	0
elle	named_entity	candidate	1	7	7	0	0	0	3.43	1	1		0	0
eric	named_entity	candidate	1	7	7	0	0	0	4.49	1	1		0	0
fortified	named_entity	candidate	1	7	0	0	7	0	3.43	0	1	fortify	0	0
frankie	named_entity	candidate	1	7	7	0	0	0	3.65	1	1		0	0
gabby	named_entity	candidate	1	7	7	0	0	0	3.16	1	1		0	0
germany	named_entity	candidate	1	7	0	0	0	7	4.9	1	1		0	0
gina	named_entity	candidate	1	7	7	0	0	0	3.58	1	1		0	0
goranov	named_entity	candidate	1	7	0	0	0	7	1.02	1	1		0	0
inward	named_entity	candidate	1	7	0	0	0	7	3.37	1	1		0	0
jessi	named_entity	candidate	1	7	7	0	0	0	2.57	1	1		0	0
jessie	named_entity	candidate	1	7	7	0	0	0	3.65	1	1		0	0
juliet	named_entity	candidate	1	7	7	0	0	0	3.59	1	1		0	0
jumping	inflection_miss		1	7	7	0	0	0	4.23	0	0	jump	1	0
kaitlyn	named_entity	candidate	1	7	7	0	0	0	2.85	1	1		0	0
karen	named_entity	candidate	1	7	7	0	0	0	4.09	1	1		0	0
kari	named_entity	candidate	1	7	7	0	0	0	2.98	1	1		0	0
katy	named_entity	candidate	1	7	7	0	0	0	3.65	1	1		0	0
laughing	inflection_miss		1	7	7	0	0	0	4.61	0	0	laugh	1	0
leticia	named_entity	candidate	1	7	7	0	0	0	2.44	1	1		0	0
libby	named_entity	candidate	1	7	7	0	0	0	3.26	1	1		0	0
maia	named_entity	candidate	1	7	7	0	0	0	2.98	1	1		0	0
marlon	named_entity	candidate	1	7	7	0	0	0	3.21	1	1		0	0
marvin	named_entity	candidate	1	7	7	0	0	0	3.66	1	1		0	0
mona	named_entity	candidate	1	7	7	0	0	0	3.54	1	1		0	0
noah	named_entity	candidate	1	7	7	0	0	0	3.93	1	1		0	0
omer	named_entity	candidate	1	7	0	0	0	7	2.87	1	1		0	0
patty	named_entity	candidate	1	7	7	0	0	0	3.58	1	1		0	0
petey	named_entity	candidate	1	7	7	0	0	0	2.57	1	1		0	0
piper	named_entity	candidate	1	7	7	0	0	0	3.68	1	1		0	0
pixie	named_entity	candidate	1	7	7	0	0	0	3.15	1	1		0	0
popper	local		1	7	7	0	0	0	2.95	0	0		0	0
quackers	named_entity	candidate	1	7	7	0	0	0	1.56	1	1		0	0
refreshing	inflection_miss		1	7	7	0	0	0	3.83	0	0	refresh	1	0
ribbit	named_entity	candidate	1	7	7	0	0	0	1.83	1	1		0	0
ricky	named_entity	candidate	1	7	7	0	0	0	3.91	1	1		0	0
sabina	named_entity	candidate	1	7	7	0	0	0	2.72	1	1		0	0
secretariat	named_entity	candidate	1	7	0	0	0	7	3.45	1	1		0	0
sharon	named_entity	candidate	1	7	7	0	0	0	3.92	1	1		0	0
solvency	named_entity	candidate	1	7	0	0	0	7	2.71	1	1		0	0
spinning	inflection_miss		1	7	7	0	0	0	3.98	0	0	spin	1	0
supreme	named_entity	candidate	1	7	0	0	0	7	4.69	1	1		0	0
therese	named_entity	candidate	1	7	7	0	0	0	2.93	1	1		0	0
thomas	named_entity	candidate	1	7	7	0	0	0	4.84	1	1		0	0
toolkit	domain_term		1	7	0	0	0	7	3.08	0	0		0	0
trembling	inflection_miss		1	7	7	0	0	0	3.27	0	0	tremble	1	0
whistling	inflection_miss		1	7	7	0	0	0	3.21	0	0	whistle	1	0
wholly	domain_term		1	7	0	0	0	7	3.83	0	0		0	0
whoosh	named_entity	candidate	1	7	7	0	0	0	2.75	1	0		0	0
willie	named_entity	candidate	1	7	7	0	0	0	3.89	1	1		0	0
abi	named_entity	candidate	1	6	6	0	0	0	3.3	1	1		0	0
amanda	named_entity	candidate	1	6	6	0	0	0	4.0	1	1		0	0
ana	named_entity	candidate	1	6	6	0	0	0	3.89	1	1		0	0
bobbie	named_entity	candidate	1	6	6	0	0	0	2.83	1	1		0	0
caroline	named_entity	candidate	1	6	6	0	0	0	4.01	1	1		0	0
ccrm	named_entity	candidate	1	6	0	0	0	6	0.0	1	1		0	0
chad	named_entity	candidate	1	6	6	0	0	0	3.93	1	1		0	0
cigars	named_entity	candidate	1	6	0	0	6	0	3.37	0	1	cigar	0	0
connie	named_entity	candidate	1	6	6	0	0	0	3.47	1	1		0	0
dairy	domain_term		1	6	0	0	6	0	4.09	0	0		0	0
declarant	junk	low_freq	1	6	0	0	0	6	1.49	0	0		0	0
dienests	junk	low_freq	1	6	0	0	0	6	0.0	0	0	dienest	0	0
dippy	named_entity	candidate	1	6	6	0	0	0	2.23	1	1		0	0
ellen	named_entity	candidate	1	6	6	0	0	0	4.05	1	1		0	0
ep	named_entity	candidate	1	6	0	0	0	6	4.21	1	1		0	0
fido	named_entity	candidate	1	6	6	0	0	0	2.64	1	1		0	0
fob	named_entity	candidate	1	6	0	0	0	6	3.1	1	1		0	0
formalities	named_entity	candidate	1	6	0	0	0	6	2.93	1	1	formality	0	0
froggy	named_entity	candidate	1	6	6	0	0	0	2.47	1	1		0	0
gmbh	named_entity	candidate	1	6	0	0	0	6	3.24	1	1		0	0
ha	named_entity	candidate	1	6	6	0	0	0	4.58	0	1		0	0
harmonized	named_entity	candidate	1	6	0	0	0	6	2.63	1	1		0	0
ieņēmumu	junk	structural	1	6	0	0	0	6	0.0	0	0		0	0
jacob	named_entity	candidate	1	6	6	0	0	0	4.23	1	1		0	0
jamie	named_entity	candidate	1	6	6	0	0	0	4.17	1	1		0	0
jasmine	named_entity	candidate	1	6	6	0	0	0	3.61	1	1		0	0
jose	named_entity	candidate	1	6	6	0	0	0	4.21	1	1		0	0
josie	named_entity	candidate	1	6	6	0	0	0	3.18	1	1		0	0
kimmy	named_entity	candidate	1	6	6	0	0	0	2.81	1	1		0	0
lacy	named_entity	candidate	1	6	6	0	0	0	3.23	1	1		0	0
laura	named_entity	candidate	1	6	6	0	0	0	4.24	1	1		0	0
lee	named_entity	candidate	1	6	6	0	0	0	4.73	1	1		0	0
looking	inflection_miss		1	6	6	0	0	0	5.57	0	0	look	1	0
marc	named_entity	candidate	1	6	6	0	0	0	4.03	1	1		0	0
margo	named_entity	candidate	1	6	6	0	0	0	3.03	1	1		0	0
marky	named_entity	candidate	1	6	6	0	0	0	2.49	1	1		0	0
michael	named_entity	candidate	1	6	0	0	0	6	5.08	1	1		0	0
mickey	named_entity	candidate	1	6	6	0	0	0	3.86	1	1		0	0
minnie	named_entity	candidate	1	6	6	0	0	0	3.34	1	1		0	0
missy	named_entity	candidate	1	6	6	0	0	0	3.26	1	1		0	0
momchil	named_entity	candidate	1	6	0	0	0	6	0.0	1	1		0	0
nathan	named_entity	candidate	1	6	6	0	0	0	4.13	1	1		0	0
neenee	named_entity	candidate	1	6	6	0	0	0	0.0	1	1		0	0
olly	named_entity	candidate	1	6	6	0	0	0	2.93	1	1		0	0
p.	junk	structural	1	6	0	0	0	6	5.13	1	0		0	0
paola	named_entity	candidate	1	6	6	0	0	0	2.7	1	1		0	0
peculiarities	domain_term		1	6	0	0	0	6	2.73	0	0	peculiarity	0	0
pinchy	named_entity	candidate	1	6	6	0	0	0	1.44	1	1		0	0
riley	named_entity	candidate	1	6	6	0	0	0	3.9	1	1		0	0
ruling	named_entity	candidate	1	6	0	0	0	6	4.29	1	1		0	0
seth	named_entity	candidate	1	6	6	0	0	0	3.92	1	1		0	0
shauna	named_entity	candidate	1	6	6	0	0	0	2.62	1	1		0	0
sia	named_entity	candidate	1	6	0	0	0	6	3.11	1	1		0	0
simone	named_entity	candidate	1	6	6	0	0	0	3.63	1	1		0	0
spanish	named_entity	candidate	1	6	6	0	0	0	4.73	1	1		0	0
splashing	inflection_miss		1	6	6	0	0	0	3.09	0	0	splash	1	0
splitting	domain_term		1	6	0	0	0	6	3.78	0	0		0	0
sweety	named_entity	candidate	1	6	6	0	0	0	2.62	1	1		0	0
t&c.	junk	structural	1	6	0	0	0	6	5.08	1	1		0	0
taxpayer	domain_term		1	6	0	0	0	6	3.86	0	0		0	0
tock	local		1	6	6	0	0	0	2.75	0	0		0	0
toni	named_entity	candidate	1	6	6	0	0	0	3.56	1	1		0	0
ty	named_entity	candidate	1	6	6	0	0	0	3.73	1	1		0	0
tyler	named_entity	candidate	1	6	6	0	0	0	4.17	1	1		0	0
valsts	named_entity	candidate	1	6	0	0	0	6	0.0	1	1	valst	0	0
zoey	named_entity	candidate	1	6	6	0	0	0	3.03	1	1		0	0
accredited	domain_term		1	5	0	0	0	5	3.71	0	0	accredit	0	0
alfie	named_entity	candidate	1	5	5	0	0	0	3.2	1	1		0	0
alicia	named_entity	candidate	1	5	5	0	0	0	3.64	1	1		0	0
alvin	named_entity	candidate	1	5	5	0	0	0	3.4	1	1		0	0
andrew	named_entity	candidate	1	5	5	0	0	0	4.57	1	1		0	0
anny	named_entity	candidate	1	5	5	0	0	0	2.19	1	1		0	0
argentina	named_entity	candidate	1	5	0	0	0	5	4.22	1	1		0	0
authorized	named_entity	candidate	1	5	0	0	0	5	4.12	1	1	authorize	0	0
brad	named_entity	candidate	1	5	5	0	0	0	4.12	1	1		0	0
brian	named_entity	candidate	1	5	5	0	0	0	4.47	1	1		0	0
british	named_entity	candidate	1	5	0	0	0	5	5.18	0	1		0	0
carl	named_entity	candidate	1	5	5	0	0	0	4.24	1	1		0	0
certified	domain_term		1	5	0	0	0	5	4.23	0	0	certify	0	0
choo	named_entity	candidate	1	5	5	0	0	0	3.28	1	0		0	0
clarissa	named_entity	candidate	1	5	5	0	0	0	2.98	1	1		0	0
co	named_entity	candidate	1	5	0	0	0	5	5.21	1	1		0	0
da	named_entity	candidate	1	5	0	0	0	5	4.54	1	1		0	0
de	named_entity	candidate	1	5	0	0	5	0	5.23	1	0		0	0
digit	domain_term		1	5	0	0	0	5	3.77	0	0		0	0
elsie	named_entity	candidate	1	5	5	0	0	0	3.09	1	1		0	0
enrika	named_entity	candidate	1	5	0	0	0	5	0.0	1	1		0	0
eur	named_entity	candidate	1	5	0	0	0	5	3.49	1	1		0	0
g.	junk	structural	1	5	0	0	0	5	5.0	1	0		0	0
garry	named_entity	candidate	1	5	5	0	0	0	3.31	1	0		0	0
giggled	inflection_miss		1	5	5	0	0	0	2.89	1	0	giggle	1	0
gigi	named_entity	candidate	1	5	5	0	0	0	3.19	1	1		0	0
harmonised	named_entity	candidate	1	5	0	0	0	5	2.26	1	1	harmonise	0	0
hauptzollamt	named_entity	candidate	1	5	0	0	0	5	0.0	1	1		0	0
ia	named_entity	candidate	1	5	0	0	0	5	3.7	1	1		0	0
ils	named_entity	candidate	1	5	0	0	0	5	2.75	1	1		0	0
intrigued	local		1	5	5	0	0	0	3.47	0	0		0	0
inviting	local		1	5	5	0	0	0	3.86	0	0		0	0
invoice	domain_term		1	5	0	0	0	5	3.27	0	0		0	0
jaqui	named_entity	candidate	1	5	5	0	0	0	1.08	1	1		0	0
jay	named_entity	candidate	1	5	5	0	0	0	4.38	1	1		0	0
joseph	named_entity	candidate	1	5	5	0	0	0	4.52	1	1		0	0
lina	named_entity	candidate	1	5	5	0	0	0	3.06	1	1		0	0
lux	named_entity	candidate	1	5	0	0	0	5	3.33	1	1		0	0
mabel	named_entity	candidate	1	5	5	0	0	0	3.25	1	1		0	0
marty	named_entity	candidate	1	5	5	0	0	0	3.64	1	1		0	0
meg	named_entity	candidate	1	5	5	0	0	0	3.55	1	1		0	0
mel	named_entity	candidate	1	5	5	0	0	0	3.8	1	1		0	0
micky	named_entity	candidate	1	5	5	0	0	0	2.91	1	0		0	0
minimis	named_entity	candidate	1	5	0	0	5	0	1.93	1	0		0	0
moni	named_entity	candidate	1	5	5	0	0	0	2.42	1	1		0	0
notes	named_entity	candidate	1	5	0	0	0	5	4.84	1	1	note	1	0
overjoyed	inflection_miss		1	5	5	0	0	0	2.97	0	0	overjoy	1	0
parliament	named_entity	candidate	1	5	0	0	0	5	4.74	1	1		0	0
peggy	named_entity	candidate	1	5	5	0	0	0	3.57	1	1		0	0
rang	inflection_miss		1	5	5	0	0	0	3.72	1	0	ring	1	0
richie	named_entity	candidate	1	5	5	0	0	0	3.67	1	1		0	0
roo	named_entity	candidate	1	5	0	0	0	5	3.1	1	1		0	0
santa	named_entity	candidate	1	5	5	0	0	0	4.49	1	1		0	0
shaun	named_entity	candidate	1	5	5	0	0	0	3.58	1	1		0	0
simplification	named_entity	candidate	1	5	0	0	0	5	2.98	1	1		0	0
sol	named_entity	candidate	1	5	5	0	0	0	3.69	1	1		0	0
steven	named_entity	candidate	1	5	5	0	0	0	4.24	1	1		0	0
sub	domain_term		1	5	0	0	0	5	4.66	0	0		0	0
subheading	domain_term		1	5	0	0	0	5	1.91	0	0	subheade	0	0
supervision	domain_term		1	5	0	0	0	5	3.94	0	0		0	0
suppliers	domain_term		1	5	0	0	0	5	3.91	0	0	supplier	0	0
sweetest	named_entity	candidate	1	5	5	0	0	0	3.41	1	0		0	0
tara	named_entity	candidate	1	5	5	0	0	0	3.66	1	1		0	0
torn	inflection_miss		1	5	5	0	0	0	4.08	0	0	tear	1	0
warehouse	domain_term		1	5	0	0	0	5	4.08	0	0		0	0
whee	named_entity	candidate	1	5	5	0	0	0	2.21	1	1		0	0
z	junk	structural	1	5	0	0	0	5	4.47	1	1		0	0
amelia	named_entity	candidate	1	4	4	0	0	0	3.55	1	1		0	0
apologised	local		1	4	4	0	0	0	3.06	0	0	apologise	0	0
articles	named_entity	candidate	1	4	0	0	0	4	4.71	1	1	article	1	0
belgium	named_entity	candidate	1	4	0	0	0	4	4.15	1	1		0	0
bizzy	named_entity	candidate	1	4	4	0	0	0	1.98	1	1		0	0
braver	local		1	4	4	0	0	0	2.87	0	0		0	0
brazilian	named_entity	candidate	1	4	0	0	0	4	4.23	0	1		0	0
c-382/09	junk	structural	1	4	0	0	0	4	3.21	1	1		0	0
calculations	domain_term		1	4	0	0	0	4	3.87	0	0	calculation	0	0
cf	domain_term		1	4	0	0	0	4	3.85	0	0		0	0
chilli	named_entity	candidate	1	4	4	0	0	0	3.29	1	0		0	0
cigarillos	named_entity	candidate	1	4	0	0	4	0	1.75	1	1	cigarillo	0	0
circular	domain_term		1	4	0	0	0	4	3.96	0	0		0	0
cleaning	inflection_miss		1	4	4	0	0	0	4.39	0	0	clean	1	0
co.	junk	structural	1	4	0	0	0	4	5.21	1	1		0	0
coco	named_entity	candidate	1	4	4	0	0	0	3.49	1	1		0	0
colombia	named_entity	candidate	1	4	0	0	0	4	3.95	1	1		0	0
competence	domain_term		1	4	0	0	0	4	3.58	0	0		0	0
consignee	domain_term		1	4	0	0	0	4	1.77	0	0		0	0
consignments	domain_term		1	4	0	0	0	4	2.28	0	0	consignment	0	0
cosy	local		1	4	4	0	0	0	3.31	0	0		0	0
cumulation	named_entity	candidate	1	4	0	0	0	4	1.51	1	0		0	0
cynthia	named_entity	candidate	1	4	4	0	0	0	3.65	1	1		0	0
debby	named_entity	candidate	1	4	4	0	0	0	2.61	1	1		0	0
delegated	domain_term		1	4	0	0	0	4	3.1	0	0	delegate	0	0
disclosure	named_entity	candidate	1	4	0	0	0	4	4.0	0	1		0	0
doctrine	domain_term		1	4	0	0	0	4	3.98	0	0		0	0
donna	named_entity	candidate	1	4	4	0	0	0	3.84	1	1		0	0
dory	named_entity	candidate	1	4	4	0	0	0	3.1	1	1		0	0
dr	named_entity	candidate	1	4	0	0	0	4	5.24	1	1		0	0
dreammaker	junk	low_freq	1	4	4	0	0	0	0.0	0	0		0	0
efficiency	domain_term		1	4	0	0	0	4	4.38	0	0		0	0
envisages	domain_term		1	4	0	0	0	4	2.45	0	0	envisage	0	0
essentially	domain_term		1	4	0	0	0	4	4.42	0	0		0	0
europe	named_entity	candidate	1	4	0	0	0	4	5.04	1	1		0	0
felt	inflection_miss		1	4	4	0	0	0	5.13	0	0	feel	1	0
finished	inflection_miss		1	4	4	0	0	0	4.94	0	0	finish	1	0
firstly	named_entity	candidate	1	4	0	0	0	4	3.73	0	1		0	0
freddie	named_entity	candidate	1	4	4	0	0	0	3.76	1	1		0	0
gin	domain_term		1	4	0	0	4	0	3.68	0	0		0	0
glowing	inflection_miss		1	4	4	0	0	0	3.75	0	0	glow	1	0
halley	named_entity	candidate	1	4	4	0	0	0	2.71	1	1		0	0
halloween	named_entity	candidate	1	4	4	0	0	0	4.16	1	1		0	0
handed	inflection_miss		1	4	4	0	0	0	4.42	0	0	hand	1	0
hereinafter	domain_term		1	4	0	0	0	4	2.95	0	0		0	0
holder	domain_term		1	4	0	0	0	4	4.21	0	0		0	0
intra	domain_term		1	4	0	0	0	4	3.32	0	0		0	0
jemma	named_entity	candidate	1	4	4	0	0	0	2.55	1	1		0	0
jogged	inflection_miss		1	4	4	0	0	0	2.57	0	0	jog	1	0
jojo	named_entity	candidate	1	4	4	0	0	0	3.34	1	1		0	0
ken	named_entity	candidate	1	4	4	0	0	0	4.21	1	1		0	0
lading	named_entity	candidate	1	4	0	0	0	4	2.29	1	1		0	0
leah	named_entity	candidate	1	4	4	0	0	0	3.47	1	1		0	0
legitimate	domain_term		1	4	0	0	0	4	4.22	0	0		0	0
liable	domain_term		1	4	0	0	0	4	3.89	0	0		0	0
limitation	domain_term		1	4	0	0	0	4	3.71	0	0		0	0
louise	named_entity	candidate	1	4	4	0	0	0	4.0	1	1		0	0
matty	named_entity	candidate	1	4	4	0	0	0	3.21	1	1		0	0
meant	inflection_miss		1	4	4	0	0	0	4.94	0	0	mean	1	0
met	named_entity	candidate	1	4	0	0	0	4	5.09	1	1		0	0
mister	named_entity	candidate	1	4	4	0	0	0	3.56	1	1		0	0
momma	named_entity	candidate	1	4	4	0	0	0	3.41	1	1		0	0
ms	named_entity	candidate	1	4	0	0	0	4	4.67	1	1		0	0
mueca	named_entity	candidate	1	4	4	0	0	0	0.0	1	1		0	0
operational	domain_term		1	4	0	0	0	4	4.21	0	0		0	0
paige	named_entity	candidate	1	4	4	0	0	0	3.52	1	1		0	0
pem	named_entity	candidate	1	4	0	0	0	4	2.21	1	1		0	0
piggy	named_entity	candidate	1	4	4	0	0	0	3.3	1	0		0	0
plopped	local		1	4	4	0	0	0	2.37	0	0	plop	0	0
quieter	local		1	4	4	0	0	0	3.34	0	0		0	0
randy	named_entity	candidate	1	4	4	0	0	0	3.92	1	1		0	0
refreshed	inflection_miss		1	4	4	0	0	0	3.25	0	0	refresh	1	0
riding	inflection_miss		1	4	4	0	0	0	4.49	0	0	rid	1	0
ringing	inflection_miss		1	4	4	0	0	0	3.68	0	0	ring	1	0
robby	named_entity	candidate	1	4	4	0	0	0	3.01	1	1		0	0
saila	named_entity	candidate	1	4	4	0	0	0	1.02	1	1		0	0
secondly	domain_term		1	4	0	0	0	4	3.85	0	0		0	0
settlement	named_entity	candidate	1	4	0	0	0	4	4.49	1	1		0	0
sherry	domain_term		1	4	0	0	4	0	3.4	0	0		0	0
shone	local		1	4	4	0	0	0	3.23	0	0		0	0
stan	named_entity	candidate	1	4	4	0	0	0	4.06	1	1		0	0
stils	named_entity	candidate	1	4	0	0	0	4	0.0	1	1		0	0
stipulates	domain_term		1	4	0	0	0	4	2.86	0	0	stipulate	0	0
stretching	named_entity	candidate	1	4	4	0	0	0	3.85	1	1	stretch	1	0
stuffing	inflection_miss		1	4	4	0	0	0	3.47	0	0	stuff	1	0
thud	local		1	4	4	0	0	0	2.9	0	0		0	0
toto	named_entity	candidate	1	4	4	0	0	0	3.15	1	1		0	0
vocabulary	local		1	4	0	4	0	0	3.82	0	0		0	0
vs	named_entity	candidate	1	4	0	0	0	4	4.85	1	1		0	0
wagner	named_entity	candidate	1	4	0	0	0	4	3.71	1	1		0	0
waiver	domain_term		1	4	0	0	0	4	3.53	0	0		0	0
wally	named_entity	candidate	1	4	4	0	0	0	3.45	1	1		0	0
wanna	local		1	4	4	0	0	0	5.04	0	0		0	0
warehousing	domain_term		1	4	0	0	0	4	2.97	0	0		0	0
wilbur	named_entity	candidate	1	4	4	0	0	0	3.24	1	1		0	0
winnie	named_entity	candidate	1	4	4	0	0	0	3.32	1	1		0	0
zones	named_entity	candidate	1	4	0	0	0	4	4.12	1	1	zone	1	0
admission	domain_term		1	3	0	0	0	3	4.15	0	0		0	0
align	domain_term		1	3	0	0	0	3	3.63	0	0		0	0
ambitious	domain_term		1	3	0	0	0	3	3.95	0	0		0	0
and/or	junk	structural	1	3	0	0	0	3	6.49	0	0		0	0
antov	named_entity	candidate	1	3	0	0	0	3	0.0	1	1		0	0
auditors	named_entity	candidate	1	3	0	0	0	3	3.25	1	1		0	0
authenticity	domain_term		1	3	0	0	0	3	3.6	0	0		0	0
balancing	inflection_miss		1	3	3	0	0	0	3.8	0	0	balance	1	0
birdy	named_entity	candidate	1	3	3	0	0	0	2.6	1	1		0	0
blew	inflection_miss		1	3	3	0	0	0	4.12	0	0	blow	1	0
brokers	domain_term		1	3	0	0	0	3	3.67	0	0	broker	0	0
bulgarian	named_entity	candidate	1	3	0	0	0	3	3.81	1	1		0	0
burning	inflection_miss		1	3	3	0	0	0	4.5	0	0	burn	1	0
buster	named_entity	candidate	1	3	3	0	0	0	3.47	1	1		0	0
buzzing	inflection_miss		1	3	3	0	0	0	3.65	0	0	buzz	1	0
calculation	domain_term		1	3	0	0	0	3	3.76	0	0		0	0
canary	named_entity	candidate	1	3	0	0	3	0	3.44	1	1		0	0
catalysers	junk	low_freq	1	3	0	0	0	3	0.0	0	0	catalyser	0	0
christelle	named_entity	candidate	1	3	0	0	0	3	1.69	1	1		0	0
classifying	domain_term		1	3	0	0	0	3	2.95	0	0	classify	0	0
climbing	inflection_miss		1	3	3	0	0	0	4.12	0	0	climb	1	0
comforting	inflection_miss		1	3	3	0	0	0	3.61	0	0	comfort	1	0
compendium	named_entity	candidate	1	3	0	0	0	3	3.05	1	1		0	0
computerized	named_entity	candidate	1	3	0	0	0	3	3.18	1	1		0	0
consignor	domain_term		1	3	0	0	0	3	2.28	0	0		0	0
continued	inflection_miss		1	3	3	0	0	0	4.96	0	0	continue	1	0
contractual	domain_term		1	3	0	0	0	3	3.43	0	0		0	0
creepy	named_entity	candidate	1	3	3	0	0	0	4.04	1	0		0	0
daring	inflection_miss		1	3	3	0	0	0	3.7	0	0	dare	1	0
ddu	named_entity	candidate	1	3	0	0	3	0	2.24	1	1		0	0
dedicated	domain_term		1	3	0	0	0	3	4.58	0	0	dedicate	0	0
deductive	domain_term		1	3	0	0	0	3	2.65	0	0		0	0
delle	named_entity	candidate	1	3	0	0	0	3	2.78	1	0		0	0
dense	local		1	3	0	3	0	0	3.98	0	0		0	0
deployment	domain_term		1	3	0	0	0	3	3.91	0	0		0	0
dogane	named_entity	candidate	1	3	0	0	0	3	0.0	1	1		0	0
dreamed	inflection_miss		1	3	3	0	0	0	3.75	0	0	dream	1	0
dsb	named_entity	candidate	1	3	0	0	0	3	2.3	1	1		0	0
duckling	local		1	3	3	0	0	0	2.66	0	0	duckle	0	0
duty‑free	junk	structural	1	3	0	0	3	0	4.66	0	0		0	0
eduardo	named_entity	candidate	1	3	0	0	0	3	3.34	1	1		0	0
efficiently	domain_term		1	3	0	0	0	3	3.79	0	0		0	0
ethyl	named_entity	candidate	1	3	0	0	3	0	2.93	1	0		0	0
everytime	named_entity	candidate	1	3	3	0	0	0	3.69	1	0		0	0
ex	domain_term		1	3	0	0	0	3	4.81	0	0		0	0
exportation	domain_term		1	3	0	0	0	3	2.4	0	0		0	0
favourable	domain_term		1	3	0	0	0	3	3.53	0	0		0	0
