sublist	family_head	decision	corrected_eo_word	note	action	current_eo_word	eo_gloss	flag
1	process	approve			LINK	trakti	to deal with, handle, treat, process	ok
4	professional	approve			LINK	isto	professional	ok
7	prohibit	approve			NEW	tabui	to make taboo, prohibit, outlaw	ok
4	project	approve			LINK	elstari	to project, protrude	ok
4	promote	approve			LINK	akceli	to accelerate, advance, further, hasten, promote, speed up	ok
3	proportion	approve			NEW	rilatumo	proportion, rate, ratio	ok
8	prospect	approve			LINK	ŝanco	chance, luck, prospect	ok
9	protocol	approve			LINK	etiketo	code of conduct, etiquette, protocol, rules of behavior; label, tag	ok
5	psychology	approve			LINK	psikologio	psychology	ok
7	publication	approve			LINK	eldonaĵo	publication	ok
3	publish	approve			LINK	afiŝi	to placard, post (up), publish	ok
2	purchase	approve			LINK	aĉeti	to acquire, buy, purchase, take over	ok
5	pursue	approve			LINK	ĉasi	to chase, hunt, pursue, seek after	ok
7	quote	approve			LINK	citi	to cite, quote, mention	ok
8	radical	approve			LINK	radiko	root, radical	ok
8	random	approve			NEW	loteca	random	ok
2	range	approve			LINK	gamo	gamut, key, (musical) scale, range	ok
5	ratio	approve			NEW	rejŝo	ratio	ok
6	rational	approve			LINK	racia	rational, sane, reasonable	ok
3	react	approve			LINK	reagi	to react, respond	ok
6	recover	approve			LINK	ripari	to fix, repair, mend, redress, amend, restore, recover	ok
9	refine	approve			NEW	rafini	to refine	ok
4	regime	approve			NEW	reĝimo	mode, regime, regimen	ok
2	region	approve			LINK	areo	area, selection, region	ok
3	register	approve			LINK	etato	account, inventory, report, list, register, return (financial), statement (financial), table (data)	ok
2	regulate	approve			NEW	reguligi	to regulate, rule, put in order	ok
8	reinforce	approve			LINK	armi	to arm (weapons), reinforce (concrete)	ok
5	reject	approve			LINK	negi	to deny, reject	ok
9	relax	approve			LINK	amuzi	to amuse, divert, entertain, unbend, relax	ok
7	release	approve			LINK	lasi	to allow, leave, let, release, quit	ok
2	relevant	approve			LINK	trafe	accurately, appropriately, graphically, relevant, on target, apt, to the point	ok
10	reluctance	approve			NEW	nevolemo	reluctance	ok
3	rely	approve			LINK	konfidi	to confide, have confidence in, trust, entrust, rely	ok
3	remove	approve			LINK	viŝi	to delete, wipe, erase, remove	ok
1	require	approve			LINK	bezoni	to need, require, want	ok
1	research	approve			LINK	esplora	scientific, exploratory, research	ok
2	reside	approve			LINK	loĝi	to dwell, live, inhabit, reside	ok
4	resolve	approve			LINK	decidi	to choose, decide, determine, resolve, settle	ok
2	resource	approve			LINK	risurco	resource	ok
1	respond	approve			LINK	reagi	to react, respond	ok
8	restore	approve			LINK	redoni	to compensate, give back, return, render, restore, pay back, refund, repay, retaliate, return, reflect, reproduce	ok
9	restrain	approve			LINK	regi	to control, govern, restrain, rule, reign	ok
2	restrict	approve			NEW	limigi	to abridge, confine, limit, restrict, circumscribe, delimit	ok
4	retain	approve			LINK	teni	to hang onto, hold, keep, retain	ok
6	reveal	approve			LINK	konigi	to divulge, let know, reveal	ok
5	revenue	approve			LINK	rento	annuity, dividend, income, return, revenue	ok
7	reverse	approve			LINK	inversa	inverse, inverted, reverse, reversed	ok
8	revise	approve			LINK	revizi	to audit, inspect, overhaul, revise	ok
9	revolution	approve			LINK	rivoluo	revolution	ok
9	rigid	approve			LINK	rigida	inflexible, rigid, stiff	ok
1	role	approve			LINK	rolo	character, part, role, rôle (acting)	ok
9	route	approve			LINK	vojo	course, passage, path, pathway, road, route, way	ok
9	scenario	approve			LINK	scenaro	scenario, screenplay, script	ok
8	schedule	approve			LINK	plani	to organize, plan, schedule	ok
3	scheme	approve			LINK	skemo	chart, diagram, outline, scheme, model, pattern	ok
6	scope	approve			LINK	regiono	region, scope, district, tract (of land)	ok
1	section	approve			LINK	fako	area of expertise, branch, compartment, department, section, specialty, subject, discipline	ok
1	sector	approve			LINK	sektoro	industry, sector	ok
2	secure	approve			LINK	fiksi	to attach, determine, fasten, fix, affix, make fast, secure, freeze, latch	ok
2	seek	approve			LINK	peti	to ask (for), request, seek, bid, beg	ok
2	select	approve			LINK	elekti	to choose, elect, pick (out), select	ok
3	sequence	approve			LINK	ordo	order, ordering, sequence, arrangement	ok
4	series	approve			LINK	serio	series, set	ok
3	sex	approve			LINK	amoro	(sexual) love, sex	ok
3	shift	approve			LINK	movi	to move, shift, stir, advance	ok
1	significant	approve			LINK	signifa	significant	ok
1	similar	approve			LINK	laŭa	similar, like; transverse, cross-	ok
7	simulate	approve			NEW	simuli	to dissemble, feign, pretend, simulate	ok
2	site	approve			LINK	sido	site, situation	ok
10	so-called	approve			NEW	laŭdira	alleged, so-called	ok
7	sole	approve			LINK	nura	mere, solitary, sole, pure	ok
7	somewhat	approve			LINK	iom	a little, rather, some, somewhat, to some extent, a bit	ok
1	source	approve			LINK	fonta	source	ok
1	specific	approve			LINK	specifa	specific	ok
3	specify	approve			LINK	specifi	to specify	ok
9	sphere	approve			LINK	globo	ball, ball bearing, globe, billiard ball, sphere	ok
5	stable	approve			LINK	firma	fast, firm, stable, staunch, unshaken	ok
4	statistic	approve			LINK	statistikaĵo	statistic	ok
4	status	approve			LINK	stato	condition, state, situation, station (of life), status	ok
10	straightforward	approve			LINK	simpla	simple, straightforward, unaffected, unvarnished, plain, unpretending	ok
2	strategy	approve			LINK	strategio	strategy	ok
4	stress	approve			LINK	urĝo	craving, stress	ok
1	structure	approve			LINK	strukturi	to structure, format (disk)	ok
5	style	approve			LINK	stilo	style	ok
7	submit	approve			LINK	sendi	to forward, remit, send, transmit, submit	ok
9	subordinate	approve			LINK	suba	lower, bottom, under, subordinate	ok
4	subsequent	approve			LINK	sekva	next, subsequent	ok
6	subsidy	approve			NEW	subvencio	grant, subsidy	ok
5	substitute	approve			NEW	antaŭigi	to substitute	ok
7	successor	approve			NEW	tujaĵo	successor	ok
3	sufficient	approve			LINK	sufiĉa	adequate, ample, enough, sufficient	ok
4	sum	approve			LINK	sumi	to sum	ok
4	summary	approve			LINK	resuma	summary, outline	ok
9	supplement	approve			LINK	aldoni	to add (to), append, supplement	ok
2	survey	approve			LINK	elvidi	to survey	ok
7	survive	approve			LINK	travivi	to experience, live through, survive	ok
9	suspend	approve			LINK	halteti	to sleep, suspend	ok
5	sustain	approve			NEW	apogi	to back (up), bolster, buttress, lean, prop, rest, support, sustain, underpin, recline, uphold	ok
5	symbol	approve			LINK	armorio	coat-of-arms, symbol	ok
6	tape	approve			LINK	bendi	to tape	ok
5	target	approve			LINK	celi	to aim (at, for), mean (to say), target, intend, aspire, strain after	ok
3	task	approve			LINK	taska	task	ok
9	team	approve			LINK	skipo	shift, team	ok
3	technical	approve			LINK	teknika	technical	ok
3	technique	approve			LINK	tekniko	technique, technology	ok
3	technology	approve			LINK	tekniko	technique, technology	ok
9	temporary	approve			LINK	duma	momentary, temporary, short-lived, transient	ok
8	tense	approve			LINK	tempo	time, beat, tense	ok
8	terminate	approve			LINK	fini	to end, finish, terminate, close, conclude	ok
2	text	approve			LINK	teksta	text, textual	ok
8	theme	approve			LINK	temo	theme, subject, topic	ok
1	theory	approve			LINK	teorio	theory	ok
7	thesis	approve			NEW	tezo	essay, thesis	ok
7	topic	approve			LINK	temo	theme, subject, topic	ok
6	trace	approve			NEW	paŭsi	to slavishly reproduce, trace	ok
2	tradition	approve			LINK	tradicio	tradition	ok
2	transfer	approve			LINK	ĝiri	to endorse, transfer	ok
6	transform	approve			LINK	aliigi	to alter, change, turn, modify, transform (sth into sth)	ok
5	transit	approve			NEW	pasado	passing, passing by, transit	ok
7	transmit	approve			LINK	sendi	to forward, remit, send, transmit, submit	ok
6	transport	approve			LINK	transigi	to pass, transmit, transport, transfer	ok
5	trend	approve			LINK	tendenco	tendency, bias, trend	ok
9	trigger	approve			LINK	ĉano	hammer (of a gun), trigger	ok
7	ultimate	approve			LINK	lasta	hindermost, last, ultimate	ok
10	undergo	approve			LINK	suferi	to abide, bear, endure, put up with, suffer, undergo	ok
6	underlie	approve			NEW	subteni	to abet, support, sustain, maintain, shore up, underlie	ok
4	undertake	approve			NEW	klopodi	to aim, attempt, endeavor, take steps, undertake, try	ok
8	uniform	approve			LINK	livero	delivery, uniform	ok
9	unify	approve			NEW	unuigi	to join, unite, unify	ok
7	unique	approve			LINK	unika	unique	ok
6	utilise	approve			NEW	utiligi	to make use of, turn to good account, utilize	ok
3	valid	approve			LINK	leĝa	lawful, legal, valid	ok
1	vary	approve			LINK	varii	to vary	ok
8	vehicle	approve			LINK	vehiklo	carrier, vector, vehicle	ok
5	version	approve			LINK	eldono	edition, issue (published item), release, version	ok
9	violate	approve			NEW	atenci	to assault, violate, attempt (to kill someone)	ok
8	virtual	approve			LINK	preskaŭa	near, virtual	ok
7	visible	approve			NEW	videbla	visible, apparent, obvious	ok
9	vision	approve			LINK	vido	sight, view, vision	ok
8	visual	approve			LINK	vida	visual	ok
3	volume	approve			LINK	dikeco	bulk, plumpness, stoutness, thickness, volume	ok
7	voluntary	approve			NEW	laŭvola	free, freestyle, optional, voluntary	ok
5	welfare	approve			LINK	bonfara	beneficent, beneficial, charitable, humanitarian, welfare	ok
5	whereas	approve			LINK	dum	during, while, for, whereas, whilst	ok
8	widespread	approve			LINK	vasta	extensive, spacious, vast, wide, immense, roomy, widespread	ok
