sublist	family_head	action	eo_root	eo_word	eo_gloss	flag	head_pos	head_in_lexicon	n_forms	n_new	n_present	forms_new	forms_present	component_roots	alt_candidates	proposed_tier	cefr	decision	notes
2	obtain	LINK	akir	akiri	to achieve, acquire, attain, get, obtain	ok	VERB	2	6	5	1	obtainable:ADJ;obtained:VERB;obtaining:VERB;obtains:VERB;unobtainable:ADJ	obtain(2)		akiradi, atingi	3	C1		head already in lexicon (tier 2)
2	participate	LINK	partpren	partpreni	to participate	ok	VERB	2	8	6	2	participants:NOUN;participated:VERB;participates:VERB;participating:VERB;participation:NOUN;participatory:ADJ	participate(2);participant(2)		partopreni	3	C1		head already in lexicon (tier 2)
2	perceive	LINK	sens	sensi	to perceive, sense	ok	NOUN	no	6	6	0	perceive:NOUN;perceived:VERB;perceives:NOUN;perceiving:VERB;perception:NOUN;perceptions:NOUN			ekaŭdi, ekrimarki, ekvidi, percepti, senti	3	C1		multiple EO senses — verify anchor
2	positive	LINK	konkret	konkreta	concrete, not abstract, perceptible, real, positive	ok	ADJ	1/2	2	1	1	positively:ADV	positive(1/2)		difinitiva, pozitiva, pozitivo	3	C1		head already in lexicon (tier 1/2); multiple EO senses — verify anchor
2	potential	LINK	povig	poviga	potential	ok	NOUN	2	2	1	1	potentially:ADV	potential(2)		eventualeco, potencebla, potenciala, potencialhava, potencialo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	previous	LINK	iam	iama	of a time, former, previous, one-time	ok	ADJ	2	2	0	2		previous(2);previously(2)		antaŭa, pasinta	3	C1		head already in lexicon (tier 2)
2	primary	LINK	unu	unua	first, foremost, premier, primary	ok	ADJ	2	2	0	2		primary(2);primarily(3)		ĉefa, elementa, primara, unuagrada, unuaranga	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	purchase	LINK	aĉet	aĉeti	to acquire, buy, purchase, take over	ok	NOUN	2	6	5	1	purchased:VERB;purchaser:NOUN;purchasers:NOUN;purchases:NOUN;purchasing:VERB	purchase(2)		aĉetado, aĉetaĵo, aĉetakiri, aĉeto, forkomerci	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	range	LINK	gam	gamo	gamut, key, (musical) scale, range	ok	NOUN	2	4	3	1	ranged:VERB;ranges:VERB;ranging:VERB	range(2)		amplekso, atingodistanco, atingopovo, intervalo, pafdistanco	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	region	LINK	are	areo	area, selection, region	ok	NOUN	2	4	2	2	regionally:ADV;regions:NOUN	region(2);regional(2)		regiono	3	C1		head already in lexicon (tier 2)
2	regulate	NEW	regulig	reguligi	to regulate, rule, put in order	ok	VERB	no	14	13	1	regulate:VERB;deregulated:VERB;deregulates:NOUN;deregulating:VERB;deregulation:NOUN;regulated:VERB;regulates:VERB;regulating:VERB;regulations:NOUN;regulator:NOUN;regulators:NOUN;regulatory:ADJ;unregulated:ADJ	regulation(2)		normaligi, reglamenti	3	C1		
2	relevant	LINK	traf	trafe	accurately, appropriately, graphically, relevant, on target, apt, to the point	ok	ADJ	2	4	3	1	irrelevance:NOUN;irrelevant:ADJ;relevance:NOUN	relevant(2)		antentinda, laŭtema, rilata	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	reside	LINK	loĝ	loĝi	to dwell, live, inhabit, reside	ok	VERB	no	8	7	1	reside:VERB;resided:VERB;residence:NOUN;residential:ADJ;residents:NOUN;resides:VERB;residing:VERB	resident(2)		restadi, rezidi	3	C1		
2	resource	LINK	risurc	risurco	resource	ok	NOUN	2	7	5	2	resourced:VERB;resources:NOUN;resourcing:VERB;under-resourced:ADV;unresourceful:ADJ	resource(2);resourceful(2)			3	C1		head already in lexicon (tier 2)
2	restrict	NEW	limig	limigi	to abridge, confine, limit, restrict, circumscribe, delimit	ok	VERB	no	10	10	0	restrict:VERB;restricted:VERB;restricting:VERB;restriction:NOUN;restrictions:NOUN;restrictive:ADJ;restrictively:ADV;restricts:VERB;unrestricted:ADJ;unrestrictive:ADJ			malgrandigi, malvastigi, restrikti	3	C1		multiple EO senses — verify anchor
2	secure	LINK	fiks	fiksi	to attach, determine, fasten, fix, affix, make fast, secure, freeze, latch	ok	NOUN	2	10	7	3	insecure:NOUN;insecurities:NOUN;insecurity:NOUN;secured:VERB;secures:VERB;securing:VERB;securities:NOUN	secure(2);securely(2);security(2)		ekgardi, firmigi, sekura, sekurigi, sendanĝera	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	seek	LINK	pet	peti	to ask (for), request, seek, bid, beg	ok	VERB	2	4	3	1	seeking:VERB;seeks:VERB;sought:VERB	seek(2)		enpoziciigo, kandidati, serĉi, serĉo, strebi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	select	LINK	elekt	elekti	to choose, elect, pick (out), select	ok	ADJ	2	10	8	2	selected:VERB;selecting:VERB;selections:NOUN;selective:ADJ;selectively:ADV;selector:NOUN;selectors:NOUN;selects:NOUN	select(2);selection(2)		apartigi, selekti	3	C1		head already in lexicon (tier 2)
2	site	LINK	sid	sido	site, situation	ok	NOUN	2	2	1	1	sites:NOUN	site(2)		situacio, situo	3	C1		head already in lexicon (tier 2)
2	strategy	LINK	strategi	strategio	strategy	ok	NOUN	2	6	5	1	strategic:ADJ;strategically:ADV;strategies:NOUN;strategist:NOUN;strategists:NOUN	strategy(2)		militarto	3	C1		head already in lexicon (tier 2)
2	survey	LINK	elvid	elvidi	to survey	ok	NOUN	2	4	3	1	surveyed:VERB;surveying:VERB;surveys:NOUN	survey(2)		ekspertizi, ekzameni, enketi, enketo, esplori	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	text	LINK	tekst	teksta	text, textual	ok	NOUN	1/2	3	2	1	texts:NOUN;textual:ADJ	text(1/2)		tekstmesaĝi, teksto	3	C1		head already in lexicon (tier 1/2)
2	tradition	LINK	tradici	tradicio	tradition	ok	NOUN	2	6	4	2	non-traditional:ADJ;traditionalist:NOUN;traditionally:ADV;traditions:NOUN	tradition(2);traditional(2)			3	C1		head already in lexicon (tier 2)
2	transfer	LINK	ĝir	ĝiri	to endorse, transfer	ok	NOUN	2	6	5	1	transferable:ADJ;transference:NOUN;transferred:VERB;transferring:VERB;transfers:NOUN	transfer(2)		dekontigi, transdoni, transig, transigi, transigo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	alternative	LINK	elektec	elekteco	alternative	ok	NOUN	2	3	2	1	alternatively:ADV;alternatives:NOUN	alternative(2)		alternativa, alternativo	3	C1		head already in lexicon (tier 2)
3	circumstance	LINK	cirkonstanc	cirkonstanco	circumstance	ok	NOUN	2	2	1	1	circumstances:NOUN	circumstance(2)			3	C1		head already in lexicon (tier 2)
3	comment	LINK	koment	komenta	comment	ok	NOUN	2	8	6	2	commentaries:NOUN;commentator:NOUN;commentators:NOUN;commented:VERB;commenting:VERB;comments:NOUN	comment(2);commentary(3)		komenti, komentlinio, komento	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	compensate	NEW	redon	redoni	to compensate, give back, return, render, restore, pay back, refund, repay, retaliate, return, reflect, reproduce	ok	VERB	no	7	7	0	compensate:VERB;compensated:VERB;compensates:VERB;compensating:VERB;compensation:NOUN;compensations:NOUN;compensatory:NOUN			kompensi, rekompenci, rekompensi	3	C1		multiple EO senses — verify anchor
3	component	LINK	er	ero	element, fragment, item, entry, particle, item, unit, piece, grain, component, segment; era	ok	NOUN	2	3	2	1	componentry:NOUN;components:NOUN	component(2)		ingredienco, komponanto, konsistigaĵo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	consent	LINK	konsent	konsenti	to agree, consent, concur, admit, approve, be in accord (with), be in harmony with, comply with	ok	NOUN	no	5	5	0	consent:NOUN;consensus:NOUN;consented:VERB;consenting:VERB;consents:NOUN			konsento	3	C1		
3	considerable	NEW	eg	ega	considerable, major, great, enormous, intense, extreme	ok	ADJ	no	2	2	0	considerable:ADJ;considerably:ADV			grandega, konsiderinda	3	C1		
3	constant	LINK	daŭr	daŭra	abiding, lasting, enduring, continuous, permanent, constant, persistent	ok	ADJ	2	6	4	2	constancy:NOUN;constants:NOUN;inconstancy:NOUN;inconstantly:ADV	constant(2);constantly(2)		ĉiama, konst, konstanta, konstanto, neŝanĝiĝema	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	constrain					no_match	VERB	no	7	7	0	constrain:VERB;constrained:VERB;constraining:VERB;constrains:NOUN;constraint:NOUN;constraints:NOUN;unconstrained:ADJ				3	C1		
3	contribute	LINK	kotiz	kotizi	to contribute, subscribe	ok	VERB	2	8	6	2	contributed:VERB;contributes:VERB;contributing:VERB;contributions:NOUN;contributor:NOUN;contributors:NOUN	contribute(2);contribution(2)		kontribui	3	C1		head already in lexicon (tier 2)
3	convene	LINK	kongres	kongresi	to convene, hold or attend a congress	ok	NOUN	no	9	9	0	convene:NOUN;convened:VERB;convenes:NOUN;convening:VERB;convention:NOUN;conventional:ADJ;conventionally:ADV;conventions:NOUN;unconventional:ADJ				3	C1		
3	coordinate	NEW	kunordig	kunordigi	to coordinate, merge, track (torrent)	ok	VERB	no	14	14	0	coordinate:VERB;co-ordinate:VERB;co-ordinated:VERB;co-ordinates:NOUN;co-ordinating:VERB;co-ordination:NOUN;co-ordinator:NOUN;co-ordinators:NOUN;coordinated:VERB;coordinates:NOUN;coordinating:VERB;coordination:NOUN;coordinator:NOUN;coordinators:NOUN			koordinato	3	C1		
3	core	LINK	kern	kerno	core, kernel, nucleus, pit, stone	ok	NOUN	2	4	3	1	cored:VERB;cores:NOUN;coring:VERB	core(2)		internaĵo, reaktoro	3	C1		head already in lexicon (tier 2)
3	corporate	LINK	korporaci	korporacia	corporate	ok	ADJ	2	4	3	1	corporates:NOUN;corporation:NOUN;corporations:NOUN	corporate(2)			3	C1		head already in lexicon (tier 2)
3	correspond	LINK	kongru	kongrui	to agree, be compatible, coincide, fit together, match, correspond (to)	ok	VERB	no	6	5	1	correspond:VERB;corresponded:VERB;correspondence:NOUN;correspondingly:ADV;corresponds:VERB	corresponding(3)		korespondi, kunrespondi	3	C1		
3	criteria	LINK	kriteri	kriterioj	criteria	ok	NOUN	no	2	1	1	criteria:NOUN	criterion(2)			3	C1		
3	deduce	NEW	dedukt	dedukti	to deduce, gather	ok	NOUN	no	6	6	0	deduce:NOUN;deduced:VERB;deduces:NOUN;deducing:VERB;deduction:NOUN;deductions:NOUN			depreni, konkludi	3	C1		
3	demonstrate	LINK	pruv	pruvi	to demonstrate, prove, substantiate	ok	VERB	2	12	11	1	demonstrable:ADJ;demonstrably:ADV;demonstrated:VERB;demonstrates:VERB;demonstrating:VERB;demonstration:NOUN;demonstrations:NOUN;demonstrative:ADJ;demonstratively:ADV;demonstrator:NOUN;demonstrators:NOUN	demonstrate(2)		demonstracii, demonstri, eksponi, espozi, manifestacii	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	document	LINK	akt	akto	act, certificate, diploma, (legal) document, deed	ok	NOUN	2	5	3	2	documented:VERB;documenting:VERB;documents:NOUN	document(2);documentation(3)		datumaro, dokumenta, dokumenti, dokumento	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	dominate	LINK	domin	domini	to dominate	ok	VERB	2	7	6	1	dominance:NOUN;dominant:ADJ;dominated:VERB;dominates:NOUN;dominating:NOUN;domination:NOUN	dominate(2)		hegemonii, mastri	3	C1		head already in lexicon (tier 2)
3	emphasis	LINK	emfaz	emfazo	accent, emphasis	ok	NOUN	2	10	8	2	emphasise:VERB;emphasised:VERB;emphasising:VERB;emphasized:VERB;emphasizes:VERB;emphasizing:VERB;emphatic:ADJ;emphatically:ADV	emphasis(2);emphasize(2)		akcentego, akcento, patoso	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	ensure	LINK				no_match	NOUN	2	4	3	1	ensured:VERB;ensures:NOUN;ensuring:VERB	ensure(2)			3	C1		head already in lexicon (tier 2)
3	exclude	NEW	eksig	eksigi	to discharge, dismiss, fire, sack, exclude, recall, prevent	ok	VERB	no	10	10	0	exclude:VERB;excluded:VERB;excludes:NOUN;excluding:VERB;exclusion:NOUN;exclusionary:NOUN;exclusionist:NOUN;exclusions:NOUN;exclusive:ADJ;exclusively:ADV			eksigu, ekskludi, ekskluzivi, escepti, eskludi	3	C1		multiple EO senses — verify anchor
3	framework	LINK	fram	framo	frame, framework, substructure, skeleton	ok	NOUN	3	2	1	1	frameworks:NOUN	framework(3)		armaturo, ĉarpentaĵo, kadraĵo, kadro, trabaĵo	3	C1		head already in lexicon (tier 3); multiple EO senses — verify anchor
3	fund	LINK	fondus	fonduso	fund	ok	NOUN	2	6	4	2	funded:VERB;funder:NOUN;funders:NOUN;funds:NOUN	fund(2);funding(2)			3	C1		head already in lexicon (tier 2)
3	illustrate	LINK	ilustr	ilustri	to illustrate	ok	VERB	2	7	5	2	illustrated:VERB;illustrates:VERB;illustrating:VERB;illustrations:NOUN;illustrative:NOUN	illustrate(2);illustration(2)		ekzempli	3	C1		head already in lexicon (tier 2)
3	immigrate	LINK	enmigr	enmigri	to immigrate	ok	VERB	no	7	6	1	immigrate:VERB;immigrants:NOUN;immigrated:VERB;immigrates:VERB;immigrating:VERB;immigration:NOUN	immigrant(2)			3	C1		
3	imply	LINK	implic	implici	to imply	ok	VERB	2	4	3	1	implied:VERB;implies:VERB;implying:VERB	imply(2)		signifi, subkomprenigi	3	C1		head already in lexicon (tier 2)
3	initial	LINK	paraf	parafi	to initial	ok	ADJ	2	2	0	2		initial(2);initially(2)		ĉeflitero, inicialo, komenca, komenclitero	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	instance	LINK	aper	apero	apparition, appearance, occurrence, instance	ok	NOUN	2	2	1	1	instances:NOUN	instance(2)		aperaĵo, ekzemplo, ekzemplodoni, instanco	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	interact	NEW	interag	interagi	to interact	ok	VERB	no	8	8	0	interact:VERB;interacted:VERB;interacting:VERB;interaction:NOUN;interactions:NOUN;interactive:ADJ;interactively:ADV;interacts:VERB			interrilati	3	C1		
3	justify	LINK	kialig	kialigi	to explain, give reasons, explain motivations, justify	ok	VERB	2	9	8	1	justifiable:ADJ;justifiably:ADV;justification:NOUN;justifications:NOUN;justified:VERB;justifies:NOUN;justifying:VERB;unjustified:ADJ	justify(2)		alkadrigi, ĝisrandigi, motivigi, pravigi, remburi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	layer	LINK	lamen	lameno	lamina, layer, plate	ok	NOUN	2	4	3	1	layered:VERB;layering:NOUN;layers:NOUN	layer(2)		grundtavolo, markoti, markoto, tavolo, tertavolo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	link	LINK	lig	ligi	to bind, connect, join, tie (up), dock, link	ok	VERB	2	6	5	1	linkage:NOUN;linkages:NOUN;linked:VERB;linking:VERB;links:NOUN	link(2)		bindi, ĉenero, ĉenringo, dosierujano, komunikigi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	locate	LINK	lok	loki	to locate, place	ok	VERB	2	10	7	3	locating:VERB;locations:NOUN;relocate:VERB;relocated:VERB;relocates:NOUN;relocating:VERB;relocation:NOUN	locate(2);located(2);location(2)		lokalizi	3	C1		head already in lexicon (tier 2)
3	maximise	NEW	maksimumig	maksimumigi	to maximize	ok	VERB	no	12	11	1	maximise:VERB;max:NOUN;maximisation:NOUN;maximised:VERB;maximises:NOUN;maximising:VERB;maximization:NOUN;maximize:VERB;maximized:VERB;maximizes:NOUN;maximizing:VERB	maximum(2)			3	C1		anchored via US spelling (maximise→maximize)
3	minor	LINK	iom	ioma	slight, minor	ok	ADJ	2	4	2	2	minorities:NOUN;minors:NOUN	minor(2);minority(2)		kroma, minora, minoro, mola, molo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	negate	LINK	ne	nei	to deny, say no, disown, repudiate, negate	ok	ADJ	no	7	6	1	negate:ADJ;negated:VERB;negates:NOUN;negating:NOUN;negatively:ADV;negatives:NOUN	negative(1/2)		malpravigi, negacii, neigi	3	C1		multiple EO senses — verify anchor
3	outcome	LINK	elven	elveno	outcome	ok	VERB	2	2	1	1	outcomes:NOUN	outcome(2)			3	C1		head already in lexicon (tier 2)
3	partner	LINK	kunul	kunulo	associate, companion, consort, mate, partner	ok	NOUN	1	4	2	2	partners:NOUN;partnerships:NOUN	partner(1);partnership(3)		asociano, asociito, kunvivantino, kunvivanto, partnera	3	C1		head already in lexicon (tier 1); multiple EO senses — verify anchor
3	philosophy	LINK	skol	skolo	school (of art, philosophy, thought, etc)	ok	NOUN	2	14	13	1	philosopher:NOUN;philosophers:NOUN;philosophical:ADJ;philosophically:ADV;philosophies:NOUN;philosophise:VERB;philosophised:VERB;philosophises:NOUN;philosophising:VERB;philosophize:VERB;philosophized:VERB;philosophizes:VERB;philosophizing:VERB	philosophy(2)		filozofio	3	C1		head already in lexicon (tier 2)
3	physical	LINK	korp	korpa	bodily, body, corporal, corporeal, of the body, physical	ok	ADJ	2	2	1	1	physically:ADV	physical(2)		fizika, fizikaj, korpeca	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	proportion	NEW	rilatum	rilatumo	proportion, rate, ratio	ok	NOUN	no	9	9	0	proportion:NOUN;disproportion:NOUN;disproportionate:ADJ;disproportionately:ADV;proportional:ADJ;proportionally:ADV;proportionate:VERB;proportionately:ADV;proportions:NOUN			proporcio	3	C1		
3	publish	LINK	afiŝ	afiŝi	to placard, post (up), publish	ok	VERB	2	7	6	1	published:VERB;publisher:NOUN;publishers:NOUN;publishes:VERB;publishing:VERB;unpublished:ADJ	publish(2)		aperigi, eldoni, publikigi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	react	LINK	reag	reagi	to react, respond	ok	VERB	2	13	11	2	reacted:VERB;reacting:VERB;reactionaries:NOUN;reactionary:ADJ;reactions:NOUN;reactivate:VERB;reactivation:NOUN;reactive:VERB;reactor:NOUN;reactors:NOUN;reacts:NOUN	react(2);reaction(2)		kontraŭbataliagi, reakcii	3	C1		head already in lexicon (tier 2)
3	register	LINK	etat	etato	account, inventory, report, list, register, return (financial), statement (financial), table (data)	ok	VERB	2	10	8	2	deregister:NOUN;deregistered:VERB;deregistering:VERB;deregisters:NOUN;deregistration:NOUN;registered:VERB;registering:VERB;registers:NOUN	register(2);registration(3)		enregistrigi, enskribi, enskribigi, registri, registriĝi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	rely	LINK	konfid	konfidi	to confide, have confidence in, trust, entrust, rely	ok	VERB	2	10	8	2	reliability:NOUN;reliably:ADV;reliance:NOUN;reliant:ADJ;relied:VERB;relies:VERB;relying:VERB;unreliable:ADJ	rely(2);reliable(2)			3	C1		head already in lexicon (tier 2)
3	remove	LINK	viŝ	viŝi	to delete, wipe, erase, remove	ok	VERB	2	7	6	1	removable:ADJ;removal:NOUN;removals:NOUN;removed:VERB;removes:VERB;removing:VERB	remove(2)		demisiigi, detiri, eloficigi, forestigi, forigi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	scheme	LINK	skem	skemo	chart, diagram, outline, scheme, model, pattern	ok	NOUN	3	6	5	1	schematic:ADJ;schematically:ADV;schemed:VERB;schemes:NOUN;scheming:VERB	scheme(3)		intrigi, intrigo, komploti, komploto, projekto	3	C1		head already in lexicon (tier 3); multiple EO senses — verify anchor
3	sequence	LINK	ord	ordo	order, ordering, sequence, arrangement	ok	NOUN	2	6	5	1	sequenced:VERB;sequences:NOUN;sequencing:VERB;sequential:ADJ;sequentially:ADV	sequence(2)		intersekvo, sekvenco, sinsekvo, vico	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	sex	LINK	amor	amoro	(sexual) love, sex	ok	NOUN	2	6	4	2	sexes:NOUN;sexism:NOUN;sexuality:NOUN;sexually:ADV	sex(2);sexual(2)		sekso, seksumo	3	C1		head already in lexicon (tier 2)
3	shift	LINK	mov	movi	to move, shift, stir, advance	ok	NOUN	2	4	3	1	shifted:VERB;shifting:VERB;shifts:NOUN	shift(2)		formovo, forŝoviĝo, forŝovo, laborperiodo, majuskliga	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	specify	LINK	specif	specifi	to specify	ok	VERB	no	6	5	1	specify:VERB;specifiable:ADJ;specifies:NOUN;specifying:VERB;unspecified:ADJ	specified(3)		precizigi, specifiki	3	C1		
3	sufficient	LINK	sufiĉ	sufiĉa	adequate, ample, enough, sufficient	ok	ADJ	3	5	4	1	insufficient:ADJ;insufficiently:ADV;sufficiency:NOUN;sufficiently:ADV	sufficient(3)		adekvata	3	C1		head already in lexicon (tier 3)
3	task	LINK	task	taska	task	ok	NOUN	2	2	1	1	tasks:NOUN	task(2)		tasko	3	C1		head already in lexicon (tier 2)
3	technical	LINK	teknik	teknika	technical	ok	ADJ	2	2	1	1	technically:ADV	technical(2)		teĥnika	3	C1		head already in lexicon (tier 2)
3	technique	LINK	teknik	tekniko	technique, technology	ok	NOUN	2	2	1	1	techniques:NOUN	technique(2)		teĥniko	3	C1		head already in lexicon (tier 2)
3	technology	LINK	teknik	tekniko	technique, technology	ok	NOUN	2	3	2	1	technological:ADJ;technologically:ADV	technology(2)		teĥnologia, teĥnologio, teĥnologo, teknologio	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
3	valid	LINK	leĝ	leĝa	lawful, legal, valid	ok	ADJ	no	9	8	1	valid:ADJ;invalidate:VERB;invalidity:NOUN;validate:NOUN;validated:VERB;validating:VERB;validation:NOUN;validly:ADV	validity(3)		valida	3	C1		
3	volume	LINK	dikec	dikeco	bulk, plumpness, stoutness, thickness, volume	ok	NOUN	2	3	2	1	vol:VERB;volumes:NOUN	volume(2)		jarkolektaĵo, laŭkvanta, portilo, sonforteco, volumeno	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	access	LINK	alir	aliro	access, approach	ok	NOUN	2	7	6	1	accessed:VERB;accesses:VERB;accessibility:NOUN;accessible:ADJ;accessing:VERB;inaccessible:ADJ	access(2)		alireblo, alirejo, alveturejo, alvojo, atingo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	adequate	LINK	sufiĉ	sufiĉa	adequate, ample, enough, sufficient	ok	ADJ	no	7	7	0	adequate:ADJ;adequacy:NOUN;adequately:ADV;inadequacies:NOUN;inadequacy:NOUN;inadequate:ADJ;inadequately:ADV			adekvata, laŭcela	3	C1		
4	annual	LINK	jar	jara	annual	ok	ADJ	2	2	1	1	annually:ADV	annual(2)		ĉiujara, jardaŭra, jardaŭrulo, jarkolektaĵo, jarlibro	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	apparent	LINK	ŝajn	ŝajna	apparent, seeming, illusive, illusory, sham, suspect	ok	ADJ	2	2	0	2		apparent(2);apparently(2)		laŭŝajna, montrebla, nekaŝebla, videbla	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	approximate	LINK	baldaŭ	baldaŭa	approaching, approximate, nigh (time), speedy	ok	ADJ	no	7	6	1	approximate:ADJ;approximated:VERB;approximates:VERB;approximating:VERB;approximation:NOUN;approximations:NOUN	approximately(2)		aproksima, aproksimi, proksimuma	3	C1		multiple EO senses — verify anchor
4	attitude	LINK	teniĝ	teniĝo	attitude, bearing, deportment, posture	ok	NOUN	2	2	1	1	attitudes:NOUN	attitude(2)		sintenado, sinteno	3	C1		head already in lexicon (tier 2)
4	attribute	NEW	ec	eco	property, quality, attribute, qualification	ok	NOUN	no	6	6	0	attribute:NOUN;attributable:ADJ;attributed:VERB;attributes:VERB;attributing:VERB;attribution:NOUN			atribui, atributi, atributo, distingilo	3	C1		multiple EO senses — verify anchor
4	civil	LINK	civil	civila	civil, civilian, non-military, secular	ok	ADJ	2	1	0	1		civil(2)		ĝentila	3	C1		head already in lexicon (tier 2); single-form family (head only)
4	code	LINK	kod	kodi	to code, encode	ok	NOUN	2	4	3	1	coded:VERB;codes:NOUN;coding:VERB	code(2)		ĉifro, kodo, leĝaro	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	commit	LINK	enmet	enmeti	to insert, put in, put away, stow, deposit, commit, check in	ok	VERB	2	6	4	2	commitments:NOUN;commits:VERB;committed:VERB;committing:VERB	commit(2);commitment(2)		devoligi, fifari	3	C1		head already in lexicon (tier 2)
4	communicate	LINK	kontaĝ	kontaĝi	to communicate	ok	VERB	2	10	8	2	communicable:ADJ;communicated:VERB;communicates:VERB;communicating:VERB;communications:NOUN;communicative:ADJ;communicatively:ADV;uncommunicative:ADJ	communicate(2);communication(2)		interkompreniĝi, interkomuniki, interkomunikiĝi, komuniki	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	concentrate	LINK	centr	centri	to center, centralize, concentrate	ok	VERB	2	5	3	2	concentrated:VERB;concentrates:VERB;concentrating:VERB	concentrate(2);concentration(2)		centrigi, koncentri, koncentrigi, koncentriĝi, kuncentrigi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	confer	LINK	don	doni	to give, administer, afford, allow, confer, grant, impart, provide, spare, yield	ok	VERB	no	6	5	1	confer:VERB;conferences:NOUN;conferred:VERB;conferring:VERB;confers:NOUN	conference(2)			3	C1		
4	contrast	LINK	kontrast	kontrasti	to contrast, exhibit contrast, show difference, stand out	ok	NOUN	2	5	4	1	contrasted:VERB;contrasting:VERB;contrastive:ADJ;contrasts:VERB	contrast(2)		antagonismo, kontrasto	3	C1		head already in lexicon (tier 2)
4	cycle	LINK	cikl	cikli	to cycle	ok	NOUN	2	6	5	1	cycled:VERB;cycles:NOUN;cyclic:NOUN;cyclical:ADJ;cycling:NOUN	cycle(2)		bicikli, biciklo, ciklo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	debate	LINK	debat	debati	to beat off, knock off, strike off, debate	ok	NOUN	2	5	4	1	debatable:ADJ;debated:VERB;debates:NOUN;debating:VERB	debate(2)		debatado, debato, disputo, kontesti	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	despite	LINK	spit	spite	defiantly, despite, in spite of	ok	SCONJ	2	1	0	1		despite(2)		malgraŭ	3	C1		head already in lexicon (tier 2); single-form family (head only)
4	dimension	LINK	grand	grando	dimension, size, magnitude	ok	NOUN	no	4	4	0	dimension:NOUN;dimensional:ADJ;dimensions:NOUN;multidimensional:ADJ			amplekso, dimensio	3	C1		
4	domestic	LINK	dom	doma	domestic, of a house	ok	ADJ	2	6	5	1	domestically:ADV;domesticate:VERB;domesticated:VERB;domesticating:NOUN;domestics:NOUN	domestic(2)		enlanda, familia, hejma, interna, servistoino	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	emerge	LINK	aper	aperi	to appear, come into sight, emerge, materialize, perform, be published	ok	VERB	2	6	5	1	emerged:VERB;emergence:NOUN;emergent:ADJ;emerges:VERB;emerging:VERB	emerge(2)		ekaperi, elmergiĝi, emerĝi, malmergiĝi, superakviĝi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	error	LINK	erar	eraro	aberration, error, mistake, erratum, fault, bug	ok	NOUN	2	4	3	1	erroneous:ADJ;erroneously:ADV;errors:NOUN	error(2)		erarprotokola, malĝusteco, malkorektaĵo, prierara	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
4	ethnic	NEW	etn	etna	ethnic	ok	ADJ	no	2	2	0	ethnic:ADJ;ethnicity:NOUN			etnika	3	C1		
4	goal	LINK	cel	celo	aim, goal, purpose, target, purpose, objective, aspiration	ok	NOUN	2	2	1	1	goals:NOUN	goal(2)		celumo, golejo, golo, motivo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
