en_lemma	total_freq	final_eo_root	final_eo_word	eo_gloss	band	head_root_inventory_tier	proposed_tier	review_flag
chime	3	sonoret	sonoreti	to chime, clank	P6_tail	core	2	
chunk	3	bul	bulo	ball, chunk, clod, hunk, lump, wad, bullet	P6_tail	core	2	
classmate	3	koleg	kolego	associate, classmate, coworker, colleague, companion, comrade, schoolmate	P6_tail	core	2	
cloudy	3	nub	nuba	cloudy, overcast, gloomy, obscure, unclear	P6_tail	core	2	
coconut	3	kokos	kokoso	coconut	P6_tail	extended	2	
companion	3	koleg	kolego	associate, classmate, coworker, colleague, companion, comrade, schoolmate	P6_tail	core	2	
congratulate	3	gratul	gratuli	to felicitate, congratulate	P6_tail	core	2	
cooperate	3	kunag	kunagi	to cooperate	P6_tail	tail	2	rare-anchor
creak	3	knar	knari	to creak, screech, grate, grind, scratch, squeak, scrape	P6_tail	extended	2	
crouch	3	kaŭr	kaŭri	to cower, crouch, squat, lurk	P6_tail	core	2	
cuddly	3	karesem	karesema	affectionate, caressing, cuddlesome, cuddly	P6_tail	core	2	
dart	3	sag	sagi	to dart	P6_tail	core	2	
dash	3	ireg	iregi	to dash, to rush	P6_tail	tail	2	rare-anchor
dial	3	disk	diski	to dial (telephone)	P6_tail	core	2	
dock	3	dok	doko	dock, dockyard, docking station, cradle	P6_tail	core	2	
encouraging	3	esperig	esperiga	encouraging, hopeful, promising	P6_tail	core	2	
english	3	angl	angla	English	P6_tail	core	2	
faint	3	sven	sveni	to faint, swoon	P6_tail	core	2	
flicker	3	flagr	flagri	to flare, flare up, flicker	P6_tail	core	2	
frosty	3	frost	frosta	freezing, frosty, raw, chilly	P6_tail	core	2	
gallop	3	galop	galopi	to gallop	P6_tail	core	2	
gardener	3	ĝardenist	ĝardenisto	gardener, groundskeeper, landscaper	P6_tail	core	2	
glance	3	ekrigard	ekrigardi	to glance (at)	P6_tail	core	2	
glare	3	brileg	brilego	flare, glare	P6_tail	core	2	
goodness	3	bonec	boneco	excellence, goodness, kindness	P6_tail	core	2	
grasp	3	ten	teno	grasp, grip, hold	P6_tail	core	2	
grip	3	ten	teno	grasp, grip, hold	P6_tail	core	2	
harmony	3	harmoni	harmonio	harmony	P6_tail	core	2	
homeless	3	sendom	sendoma	homeless	P6_tail	core	2	
hoof	3	huf	hufo	hoof	P6_tail	core	2	
hoot	3	hu	hui	to boo, hoot	P6_tail	tail	2	rare-anchor
illuminate	3	lumig	lumigi	to illuminate, light	P6_tail	core	2	
joyful	3	ĝoj	ĝoja	happy, glad, joyful, joyous	P6_tail	core	2	
keen	3	akr	akra	abrasive, acrimonious, acute, lurid, sharp, keen, poignant	P6_tail	core	2	
leafy	3	folriĉ	folriĉa	leafy, rich in leaves	P6_tail	tail	2	rare-anchor
lioness	3	leonin	leonino	lioness	P6_tail	core	2	
loneliness	3	solec	soleco	loneliness, seclusion, solitude	P6_tail	core	2	
maker	3	farint	farinto	maker	P6_tail	core	2	
muster	3	kunvenig	kunvenigi	to muster, take along	P6_tail	core	2	
nuzzle	3	nazum	nazumi	to nuzzle	P6_tail	core	2	
obediently	3	obe	obee	obediently	P6_tail	core	2	
obstacle	3	bar	baro	bar, barrier, impediment, obstacle, obstruction, bound	P6_tail	core	2	
parcel	3	pak	pako	pack, parcel, package	P6_tail	core	2	
persistence	3	senĉesec	senĉeseco	persistence	P6_tail	core	2	
pony	3	pone	poneo	pony	P6_tail	tail	2	rare-anchor
porridge	3	kaĉ	kaĉo	gruel, mess, mush, porridge, puree, slush, hodge-podge	P6_tail	extended	2	
pouch	3	krop	kropo	craw, crop, goiter, gullet, pouch	P6_tail	tail	2	rare-anchor
protector	3	zorgant	zorganto	caretaker, guardian, protector	P6_tail	core	2	
pry	3	rigardet	rigardeti	to peep, pry, take a look at, have a glance at	P6_tail	core	2	
reappear	3	reaper	reaperi	to reappear	P6_tail	core	2	
reflection	3	rebild	rebildo	reflection, reflected image	P6_tail	core	2	
relic	3	relikv	relikvo	relic	P6_tail	core	2	
resume	3	daŭrig	daŭrigi	to continue, carry on, go on, proceed with, perpetuate, resume, continue, prolong	P6_tail	core	2	
riverbank	3	riverbord	riverbordo	riverbank	P6_tail	core	2	
rosy	3	roz	roza	pink, rosy	P6_tail	core	2	
rumor	3	fam	famo	fame, hearsay, renown, repute, rumor, reputation	P6_tail	core	2	
scowl	3	sulkegiĝ	sulkegiĝi	to scowl	P6_tail	core	2	
seahorse	3	hipokamp	hipokampo	seahorse	P6_tail	tail	2	rare-anchor
seesaw	3	baskul	baskulo	seesaw, teeter-totter, lever, toggle, trigger, weighing machine	P6_tail	extended	2	
sensation	3	sent	sento	feel, feeling, sensation, perception, sentiment	P6_tail	core	2	
shortly	3	fru	frue	early, shortly, soon	P6_tail	core	2	
shuffle	3	miks	miksi	to blend, mingle, mix, shuffle, scramble	P6_tail	core	2	
sparrow	3	paser	pasero	sparrow	P6_tail	core	2	
spat	3	gamaŝet	gamaŝeto	spat	P6_tail	extended	2	
squeak	3	knar	knari	to creak, screech, grate, grind, scratch, squeak, scrape	P6_tail	extended	2	
stain	3	makul	makuli	to soil, spot, stain	P6_tail	core	2	
stall	3	bud	budo	barn, shed, stand, stall, hut, booth, cabana, kiosk	P6_tail	core	2	
steer	3	stir	stiri	to drive, fly, steer, control	P6_tail	core	2	
stubbornness	3	obstin	obstino	obstinacy, stubbornness	P6_tail	core	2	
sturdy	3	hard	harda	hardy, sturdy	P6_tail	core	2	
surfboard	3	surftabul	surftabulo	surfboard	P6_tail	tail	2	rare-anchor
teapot	3	teuj	teujo	teapot, tea caddy, tea canister	P6_tail	tail	2	rare-anchor
temptation	3	tent	tento	temptation	P6_tail	core	2	
tournament	3	turnir	turniro	tournament	P6_tail	extended	2	
trusty	3	fidel	fidela	accurate, exact, faithful, loyal, staunch, trusty, trustworthy	P6_tail	core	2	
unicorn	3	unikorn	unikorno	unicorn	P6_tail	core	2	
unwell	3	malsan	malsana	ill, sick, unhealthy, unwell, unwholesome	P6_tail	core	2	
useless	3	van	vana	abortive, futile, useless, vain, fruitless, ineffectual	P6_tail	core	2	
waddle	3	anasir	anasiri	to waddle	P6_tail	tail	2	rare-anchor
wobbly	3	nestarem	nestarema	shaky, rickety, wobbly, loose	P6_tail	core	2	
workshop	3	metiej	metiejo	jobsite, workplace, workshop	P6_tail	core	2	
wrinkle	3	ĉif	ĉifi	to crease, crumble, crumple, rumple, wrinkle	P6_tail	extended	2	
accurately	2	traf	trafe	accurately, appropriately, graphically, relevant, on target, apt, to the point	P6_tail	core	2	
acrobat	2	akrobat	akrobato	acrobat	P6_tail	core	2	
alas	2	bedaŭrind	bedaŭrinde	alas, regrettably, unfortunately	P6_tail	core	2	
amuse	2	amuz	amuzi	to amuse, divert, entertain, unbend, relax	P6_tail	core	2	
anxiously	2	anksi	anksie	anxiously	P6_tail	extended	2	
appetite	2	apetit	apetito	appetite	P6_tail	extended	2	
arch	2	ark	arki	to arch	P6_tail	core	2	
artwork	2	artaĵ	artaĵoj	artwork	P6_tail	core	2	
astound	2	mireg	miregi	to astound, be stupefied	P6_tail	core	2	
awkward	2	plump	plumpa	awkward, lumpish, plump, ungainly	P6_tail	tail	2	rare-anchor
baa	2	be	bei	to baa, bleat	P6_tail	tail	2	rare-anchor
ballerina	2	baletistin	baletistino	ballerina, ballet dancer, ballet girl	P6_tail	core	2	
basin	2	pelv	pelvo	basin, bowl, pelvis	P6_tail	tail	2	rare-anchor
beautifully	2	bel	bele	beautifully	P6_tail	core	2	
bid	2	pet	peti	to ask (for), request, seek, bid, beg	P6_tail	core	2	
binocular	2	duokul	duokula	binocular	P6_tail	extended	2	
blend	2	miks	miksi	to blend, mingle, mix, shuffle, scramble	P6_tail	core	2	
bless	2	ben	beni	to bless	P6_tail	core	2	
blonde	2	blondulin	blondulino	blonde (woman)	P6_tail	core	2	
blossom	2	flor	flori	to bloom, blossom, flower	P6_tail	core	2	
blur	2	malklariĝ	malklariĝi	to blur, fade	P6_tail	core	2	
blush	2	roziĝ	roziĝi	to become rosy, blush	P6_tail	core	2	
boundary	2	lim	limo	bound, boundary, frontier, limit	P6_tail	core	2	
bristle	2	arist	aristo	arista, awn, beard, bristle	P6_tail	tail	2	rare-anchor
bruise	2	bataĵ	bataĵo	black-and-blue mark, bruise	P6_tail	core	2	
bundle	2	fask	fasko	bunch, bundle, cluster, sheaf	P6_tail	tail	2	rare-anchor
buttery	2	buter	butera	buttery, buttered	P6_tail	core	2	
canyon	2	kanjon	kanjono	canyon	P6_tail	extended	2	
carelessly	2	malzorg	malzorge	carelessly	P6_tail	core	2	
carve	2	ĉiz	ĉizi	to carve, chisel	P6_tail	tail	2	rare-anchor
cautious	2	evitem	evitema	cautious, evasive, noncommittal, oblique	P6_tail	core	2	
chainsaw	2	ĉensegil	ĉensegilo	chainsaw	P6_tail	core	2	
chaos	2	kaos	kaoso	chaos, tangle	P6_tail	extended	2	
cheerfully	2	gaj	gaje	cheerfully, happily, gaily	P6_tail	core	2	
chill	2	malvarm	malvarmo	chill, cold	P6_tail	core	2	
christmas	2	kristnask	kristnaska	Christmas, of Christmas, Christmas-time	P6_tail	tail	2	rare-anchor
cinema	2	kin	kino	cinema, cinematography	P6_tail	core	2	
claw	2	krif	krifo	claw, talon	P6_tail	tail	2	rare-anchor
clipper	2	tondist	tondisto	clipper	P6_tail	core	2	
cob	2	maizospadik	maizospadiko	cob	P6_tail	tail	2	rare-anchor
cobra	2	kobr	kobro	cobra	P6_tail	tail	2	rare-anchor
cooperation	2	kooperad	kooperado	cooperation	P6_tail	extended	2	
courageous	2	kuraĝ	kuraĝa	audacious, bold, brave, courageous, valiant, daring, fearless, intrepid	P6_tail	core	2	
courtier	2	kortegan	kortegano	courtier	P6_tail	core	2	
crackle	2	kraket	kraketi	to crackle, pop, snap, rattle (a toy)	P6_tail	core	2	
crocodile	2	krokodil	krokodilo	crocodile	P6_tail	tail	2	rare-anchor
crumble	2	ĉif	ĉifi	to crease, crumble, crumple, rumple, wrinkle	P6_tail	extended	2	
daffodil	2	narcis	narciso	daffodil, narcissus	P6_tail	extended	2	
dandelion	2	leontod	leontodo	dandelion	P6_tail	tail	2	rare-anchor
daydream	2	rev	revi	to dream, daydream, fancy, muse	P6_tail	core	2	
desperately	2	kriz	krize	critically, desperately	P6_tail	tail	2	rare-anchor
disbelief	2	nekredem	nekredemo	disbelief, lack of faith	P6_tail	tail	2	rare-anchor
discourage	2	fortimig	fortimigi	to deter, discourage, scare (away)	P6_tail	extended	2	
disobey	2	malobe	malobei	to disobey	P6_tail	core	2	
drown	2	dron	droni	to drown, sink	P6_tail	core	2	
dryer	2	sekigil	sekigilo	dryer	P6_tail	core	2	
earring	2	orelring	orelringo	earring	P6_tail	core	2	
fascination	2	ensorĉ	ensorĉo	bewitchment, delusion, spell, enchantment, fascination	P6_tail	core	2	
fate	2	fat	fato	destiny, fate, ill fate, fortune	P6_tail	tail	2	rare-anchor
flip	2	renvers	renversi	to overthrow, turn, turn over, overturn, upset, reverse, flip	P6_tail	core	2	
fluff	2	lanug	lanugo	down, fluff, nap	P6_tail	tail	2	rare-anchor
foam	2	ŝaum	ŝaumo	foam, froth	P6_tail	tail	2	rare-anchor
fond	2	am	ama	fond	P6_tail	tail	2	rare-anchor
forehead	2	frunt	frunto	brow, forehead	P6_tail	extended	2	
forgiveness	2	pardon	pardono	absolution, pardon, forgiveness	P6_tail	core	2	
fragrance	2	arom	aromo	aroma, flavor, fragrance, smell	P6_tail	core	2	
fright	2	tim	timo	fear, fright, dread, apprehension	P6_tail	core	2	
frisbee	2	ĵetdisk	ĵetdisko	disc, discus, disk, Frisbee	P6_tail	core	2	
frustration	2	frustr	frustro	frustration	P6_tail	tail	2	rare-anchor
fulfill	2	verig	verigi	to authenticate, verify, meet, satisfy, fulfill	P6_tail	core	2	
gadget	2	akcesoraĵ	akcesoraĵo	accessory, side issue, gadget	P6_tail	extended	2	
generosity	2	sindon	sindono	attachment, devotion, generosity, helpfulness, selflessness, self-sacrifice	P6_tail	core	2	
gigantic	2	gigant	giganta	gigantic, huge, giant	P6_tail	tail	2	rare-anchor
gleam	2	glim	glimi	to gleam	P6_tail	tail	2	rare-anchor
glide	2	glis	glisi	to glide, plane	P6_tail	extended	2	
glossy	2	glace	glacea	glossy	P6_tail	core	2	
golfer	2	golfludant	golfludanto	golfer	P6_tail	core	2	
grease	2	gras	grasi	to grease	P6_tail	core	2	
groan	2	ĝem	ĝemi	to groan, moan	P6_tail	core	2	
gut	2	senintestig	senintestigi	to gut	P6_tail	extended	2	
hairdresser	2	frizist	frizisto	barber, hairdresser, hair stylist	P6_tail	core	2	
heartbeat	2	korbat	korbato	heartbeat	P6_tail	core	2	
hearty	2	kor	kora	cardiac, cordial, hearty, warm	P6_tail	core	2	
heavenly	2	ĉiel	ĉiela	celestial, heavenly	P6_tail	—	2	rare-anchor
hesitation	2	hezit	hezito	hesitation	P6_tail	core	2	
honesty	2	honest	honesto	honesty	P6_tail	core	2	
hurriedly	2	hast	haste	hastily, hurriedly, in a hurry	P6_tail	extended	2	
impatiently	2	malpacienc	malpacience	impatiently	P6_tail	core	2	
inseparable	2	sendisiĝ	sendisiĝa	inseparable	P6_tail	core	2	
insistent	2	insist	insista	emphatic, insistent	P6_tail	core	2	
jingle	2	tint	tinti	to chink, clink, jingle, tinkle	P6_tail	core	2	
lace	2	laĉ	laĉi	to lace	P6_tail	tail	2	rare-anchor
lamb	2	ŝafid	ŝafida	lamb, of lamb	P6_tail	core	2	
learner	2	lernantin	lernantino	learner, student, pupil	P6_tail	core	2	
librarian	2	bibliotekist	bibliotekisto	librarian	P6_tail	core	2	
lightly	2	leĝer	leĝere	lightly	P6_tail	core	2	
lookout	2	gvat	gvato	watch, lookout	P6_tail	core	2	
lovingly	2	am	ame	fondly, lovingly	P6_tail	tail	2	rare-anchor
lullaby	2	lulkant	lulkanto	lullaby	P6_tail	core	2	
mango	2	mang	mango	mango	P6_tail	core	2	
mast	2	mast	masto	mast	P6_tail	core	2	
merry	2	gaj	gaja	cheerful, gay, merry, happy	P6_tail	core	2	
misbehave	2	malbonkondut	malbonkonduti	to misbehave, misconduct	P6_tail	extended	2	
moonlight	2	lunlum	lunlumo	moonlight	P6_tail	tail	2	rare-anchor
mural	2	murpentraĵ	murpentraĵo	mural, mural painting, wall painting	P6_tail	core	2	
murky	2	malhel	malhela	bleak, dark, dismal, dreary, dusky, obscure, somber, murky, dull	P6_tail	core	2	
musty	2	mucid	mucida	foul, moldy, musty	P6_tail	tail	2	rare-anchor
nestle	2	kuŝiĝet	kuŝiĝeti	to nestle	P6_tail	core	2	
nook	2	niĉ	niĉo	niche, nook	P6_tail	tail	2	rare-anchor
oblige	2	devig	devigi	to compel, force, coerce, oblige	P6_tail	core	2	
pad	2	puf	pufo	padding, puff, swelling, stuffing, wad, pad	P6_tail	core	2	
pail	2	sitel	sitelo	bucket, pail	P6_tail	extended	2	
pant	2	anhel	anheli	to be out of breath, pant, hyperventilate	P6_tail	tail	2	rare-anchor
peacefulness	2	trankvil	trankvilo	tranquility, calmness, peacefulness	P6_tail	core	2	
peacock	2	pav	pavo	peacock	P6_tail	tail	2	rare-anchor
persuasive	2	kredig	krediga	convincing, persuasive	P6_tail	core	2	
pickle	2	pekl	pekli	to pickle (in salt)	P6_tail	extended	2	
pity	2	domaĝ	domaĝo	pity, something regrettable	P6_tail	tail	2	rare-anchor
plaster	2	gips	gipsi	to plaster	P6_tail	tail	2	rare-anchor
ponder	2	remaĉ	remaĉi	to chew the cud, ponder, reflect on, ruminate	P6_tail	core	2	
pounce	2	alsalt	alsalti	to pounce	P6_tail	core	2	
prance	2	pranc	pranci	to balk, buck, prance, rear	P6_tail	tail	2	rare-anchor
quicken	2	vivig	vivigi	to animate, invigorate, quicken	P6_tail	core	2	
quiver	2	trem	tremi	to quiver, shiver, tremble, shake, tremble	P6_tail	core	2	
rack	2	rak	rako	rack	P6_tail	extended	2	
reassuringly	2	trankvilig	trankvilige	reassuringly	P6_tail	core	2	
rebuild	2	refar	refari	to redo, remake, regenerate, restore, rebuild	P6_tail	core	2	
receptionist	2	akceptist	akceptisto	receptionist	P6_tail	core	2	
recess	2	paŭz	paŭzo	break, intermission, pause, recess, interval, rest, stop	P6_tail	core	2	
reckless	2	senzorg	senzorga	careless, neglectful, reckless, remiss	P6_tail	core	2	
reflective	2	rebril	rebrila	reflective	P6_tail	core	2	
repairman	2	riparist	riparisto	repairman	P6_tail	core	2	
responsibly	2	respondec	respondece	responsibly	P6_tail	core	2	
ritual	2	rit	rita	ritual, ritualistic	P6_tail	core	2	
rotten	2	aĉ	aĉa	lousy, rotten, poor in quality, ugly, wretched, no good	P6_tail	tail	2	rare-anchor
scenery	2	pejzaĝ	pejzaĝo	landscape, scenery	P6_tail	extended	2	
scratchy	2	gratec	grateca	scratchy	P6_tail	core	2	
sensor	2	sensil	sensilo	pickup, sensing device, sensor, transducer	P6_tail	core	2	
shady	2	ombr	ombra	shaded, shadowy, shady	P6_tail	core	2	
shortcut	2	irmallongig	irmallongigo	shortcut	P6_tail	tail	2	rare-anchor
sill	2	sojl	sojlo	sill, threshold	P6_tail	tail	2	rare-anchor
siren	2	siren	sireno	mermaid, siren	P6_tail	tail	2	rare-anchor
sleeve	2	manik	maniko	sleeve	P6_tail	extended	2	
smoothly	2	glat	glate	smoothly, sleekly	P6_tail	core	2	
snore	2	ronk	ronki	to snore	P6_tail	core	2	
snort	2	ekronk	ekronki	to snort	P6_tail	core	2	
softness	2	molec	moleco	mellowness, softness, tenderness	P6_tail	core	2	
soothe	2	konsol	konsoli	to cheer, comfort, console, soothe, solace	P6_tail	core	2	
souvenir	2	memoraĵ	memoraĵo	keepsake, memento, souvenir, memorial	P6_tail	core	2	
spank	2	manbat	manbati	to spank	P6_tail	core	2	
speechless	2	mut	muta	dumb, mute, speechless, silent	P6_tail	core	2	
squabble	2	disputaĉ	disputaĉi	to squabble, wrangle	P6_tail	core	2	
stool	2	benket	benketo	small bench, stool	P6_tail	core	2	
strap	2	ligil	ligilo	band, strap, bond, tie, leash, tether, linker, link (WWW)	P6_tail	core	2	
strut	2	pav	pavi	to show off, strut, swagger	P6_tail	tail	2	rare-anchor
stutter	2	balbut	balbuti	to falter, stammer, stutter	P6_tail	core	2	
suspicious	2	malfid	malfida	suspicious	P6_tail	core	2	
swallow	2	glut	gluti	to swallow	P6_tail	core	2	
sweat	2	ŝvit	ŝviti	to perspire, sweat	P6_tail	core	2	
sweaty	2	ŝvit	ŝvita	sweaty	P6_tail	core	2	
swimmer	2	naĝant	naĝanto	swimmer	P6_tail	core	2	
tar	2	gudr	gudri	to tar	P6_tail	tail	2	rare-anchor
tentacle	2	tentakl	tentaklo	tentacle	P6_tail	tail	2	rare-anchor
terribly	2	terur	terure	awfully, frightful, terribly	P6_tail	core	2	
thankfully	2	dank	danke	thankfully	P6_tail	core	2	
thoughtfulness	2	antaŭzorg	antaŭzorgo	foresight, forethought, preservation, thoughtfulness, providence, precaution	P6_tail	core	2	
tighten	2	string	stringi	to hug, squeeze, tighten, draw, constrict	P6_tail	tail	2	rare-anchor
tilt	2	klin	klini	to bend, incline, tilt, lean, slope, tilt	P6_tail	core	2	
timid	2	timem	timema	afraid, timid, faint hearted, timid	P6_tail	core	2	
tirelessly	2	senlac	senlace	tirelessly, untiringly	P6_tail	core	2	
toolbox	2	ilkest	ilkesto	toolbox	P6_tail	tail	2	rare-anchor
trading	2	negocad	negocado	negotiation, trading	P6_tail	core	2	
trim	2	garn	garni	to decorate, embellish, equip, fit out, furnish, garnish, trim, reinforce, strengthen, adorn	P6_tail	core	2	
trustworthy	2	fidel	fidela	accurate, exact, faithful, loyal, staunch, trusty, trustworthy	P6_tail	core	2	
ungrateful	2	nedank	nedanka	ungrateful	P6_tail	core	2	
unroll	2	malrul	malruli	to unroll	P6_tail	core	2	
unwanted	2	nedezirat	nedezirata	unwanted, unsolicited	P6_tail	tail	2	rare-anchor
unwrap	2	elvolviĝ	elvolviĝi	to expound, open, unwind, unwrap	P6_tail	core	2	
victorious	2	venkint	venkinta	victorious	P6_tail	core	2	
waggle	2	sving	svingo	wag, waggle, wave	P6_tail	core	2	
watchful	2	vigl	vigla	adroit, agile, alert, brisk, keen, lively, nimble, vigilant, watchful	P6_tail	core	2	
waterfall	2	kaskad	kaskado	cascade, waterfall	P6_tail	extended	2	
webcam	2	retkamera	retkamerao	webcam	P6_tail	extended	2	
weightless	2	senpez	senpeza	weightless	P6_tail	core	2	
whilst	2	dum	dum	during, while, for, whereas, whilst	P6_tail	—	2	rare-anchor
whine	2	bleket	bleketi	to squeak, purr, whine	P6_tail	core	2	
whirlpool	2	akvokirl	akvokirlo	whirlpool	P6_tail	extended	2	
whispering	2	flustr	flustra	whispering	P6_tail	extended	2	
wisely	2	saĝ	saĝe	with wisdom, wisely	P6_tail	core	2	
woodpecker	2	peg	pego	woodpecker	P6_tail	tail	2	rare-anchor
abide	1	atend	atendi	to abide, expect, wait (for), await	P6_tail	core	2	
aboard	1	enbus	enbuse	aboard	P6_tail	extended	2	
achy	1	dolorec	doloreca	achy	P6_tail	core	2	
admiringly	1	admir	admire	admiringly	P6_tail	core	2	
adventuresome	1	riskoplen	riskoplena	adventuresome, risky	P6_tail	core	2	
afloat	1	naĝ	naĝe	afloat	P6_tail	core	2	
allowance	1	eblig	ebligo	allowance	P6_tail	core	2	
alphabet	1	aboc	aboco	ABC, alphabet, basics, fundamentals, primer, rudiments	P6_tail	tail	2	rare-anchor
amazingly	1	mir	mire	amazingly, astonishingly	P6_tail	core	2	
amiss	1	mis	misa	faulty, incorrect, amiss	P6_tail	core	2	
ancestor	1	atav	atavo	ancestor	P6_tail	tail	2	rare-anchor
antic	1	klaŭnaĵ	klaŭnaĵo	antic	P6_tail	extended	2	
apology	1	ekskuz	ekskuzo	apology	P6_tail	core	2	
applause	1	aplaŭdoad	aplaŭdoado	applause	P6_tail	tail	2	rare-anchor
appreciative	1	aplaŭdem	aplaŭdema	appreciative	P6_tail	core	2	
aquarium	1	akvari	akvario	aquarium	P6_tail	core	2	
archer	1	arkist	arkisto	archer, bowman	P6_tail	core	2	
archery	1	arkopaf	arkopafo	archery	P6_tail	core	2	
arctic	1	arkt	arkta	arctic	P6_tail	extended	2	
assemble	1	munt	munti	to assemble, link, mount, set, build	P6_tail	core	2	
assure	1	asekur	asekuri	to assure, insure, underwrite	P6_tail	core	2	
automobile	1	aŭt	aŭto	automobile, car	P6_tail	core	2	
autumn	1	aŭtun	aŭtuna	autumn	P6_tail	extended	1	
await	1	atend	atendi	to abide, expect, wait (for), await	P6_tail	core	2	
babysitter	1	vartantin	vartantino	babysitter	P6_tail	core	2	
bail	1	bejl	bejlo	bail	P6_tail	tail	2	rare-anchor
bait	1	log	logo	allurement, bait, enticement; log	P6_tail	core	2	
barnyard	1	farmkort	farmkorto	barnyard	P6_tail	core	2	
bearable	1	tolerebl	tolerebla	bearable, tolerable	P6_tail	core	2	
behold	1	j	jen	behold, here is, here are, look, there	P6_tail	—	2	rare-anchor
beneficial	1	bonfar	bonfara	beneficent, beneficial, charitable, humanitarian, welfare	P6_tail	core	2	
bicker	1	disput	disputi	to argue, dispute, bicker, contest, wrangle, contend	P6_tail	core	2	
biscuit	1	keks	kekso	biscuit, cookie	P6_tail	tail	2	rare-anchor
blackbird	1	merl	merlo	blackbird	P6_tail	tail	2	rare-anchor
blessing	1	ben	beno	benediction, blessing, boon	P6_tail	core	2	
boastful	1	vantem	vantema	boastful, bragging	P6_tail	core	2	
boredom	1	enu	enuo	annoyance, boredom, worry, weariness	P6_tail	core	2	
bouquet	1	buked	bukedo	bunch, bouquet	P6_tail	tail	2	rare-anchor
brag	1	bluf	blufi	to bluff, brag	P6_tail	core	2	
brass	1	latun	latuna	brass	P6_tail	tail	2	rare-anchor
bray	1	ia	iai	to bray	P6_tail	—	2	rare-anchor
breakthrough	1	avanceg	avancego	breakthrough	P6_tail	core	2	
brew	1	bras	brasi	to brew	P6_tail	tail	2	rare-anchor
brigade	1	brigad	brigado	brigade	P6_tail	core	2	
broomstick	1	balailstang	balailstango	broomstick	P6_tail	tail	2	rare-anchor
brownish	1	brunet	bruneta	brownish	P6_tail	core	2	
browse	1	foli	folii	to browse, leaf through, page through	P6_tail	core	2	
buck	1	baŭm	baŭmi	to buck (as a horse)	P6_tail	tail	2	rare-anchor
burp	1	rukt	rukti	to belch, burp	P6_tail	tail	2	rare-anchor
cackle	1	gak	gaki	to cackle	P6_tail	tail	2	rare-anchor
calmness	1	flegm	flegmo	apathy, indifference, phlegm, stolidity, composure, calmness	P6_tail	core	2	
camper	1	domaŭt	domaŭto	camper (vehicle)	P6_tail	core	2	
canoe	1	kanu	kanuo	canoe	P6_tail	extended	2	
caramel	1	karamel	karamelo	caramel	P6_tail	core	2	
caretaker	1	zorgant	zorganto	caretaker, guardian, protector	P6_tail	core	2	
char	1	brulet	bruleti	to char, scorch, smolder, singe	P6_tail	core	2	
chin	1	menton	mentono	chin	P6_tail	tail	2	rare-anchor
chord	1	akord	akordo	accord, accordance, agreement, chord, concord, concurrence, concurrency, consonance	P6_tail	core	2	
chorus	1	ĥor	ĥoro	chorus, choir	P6_tail	core	2	
churn	1	buterig	buterigi	to churn	P6_tail	core	2	
clam	1	lamelibranki	lamelibrankio	clam	P6_tail	tail	2	rare-anchor
clamber	1	suprenramp	suprenrampi	to clamber, climb, scramble up	P6_tail	core	2	
cleverly	1	lert	lerte	cleverly	P6_tail	core	2	
clink	1	tint	tinti	to chink, clink, jingle, tinkle	P6_tail	core	2	
clip	1	klip	klipo	clasp, clip	P6_tail	tail	2	rare-anchor
clothesline	1	pendigŝnur	pendigŝnuro	clothesline	P6_tail	tail	2	rare-anchor
cloudless	1	sennub	sennuba	cloudless	P6_tail	core	2	
clumsily	1	fuŝ	fuŝe	clumsily, ineptly	P6_tail	core	2	
cocoon	1	kokon	kokono	cocoon	P6_tail	core	2	
coil	1	boben	bobeno	bobbin, coil, reel, spool, choke, inductor, reactor	P6_tail	core	2	
collaboration	1	kunlabor	kunlaboro	collaboration	P6_tail	core	2	
colony	1	koloni	kolonio	colony, settlement	P6_tail	core	2	
commotion	1	agit	agito	agitation, commotion, disturbance, excitement, flutter, turmoil	P6_tail	core	2	
compartment	1	fak	fako	area of expertise, branch, compartment, department, section, specialty, subject, discipline	P6_tail	core	2	
compromise	1	kompromit	kompromiti	to compromise, endanger, imperil, jeopardize, prejudice	P6_tail	extended	2	
conductor	1	kondukant	kondukanto	conductor, leader	P6_tail	core	2	
congratulation	1	gratul	gratulo	congratulation	P6_tail	core	2	
considerate	1	pripensem	pripensema	circumspect, considerate, critical, reflective, thoughtful	P6_tail	core	2	
console	1	konsol	konsoli	to cheer, comfort, console, soothe, solace	P6_tail	core	2	
contagious	1	infekt	infekta	catching, contagious, infectious	P6_tail	core	2	
coop	1	kaĝeg	kaĝego	coop	P6_tail	core	2	
courageously	1	kuraĝ	kuraĝe	courageously	P6_tail	core	2	
courteous	1	ĝentil	ĝentila	polite, gentle, civil, courteous, well-mannered, polished, refined	P6_tail	core	2	
courtyard	1	kort	korto	court, yard, courtyard, enclosed area, quadrangle	P6_tail	core	2	
cruelly	1	kruel	kruele	cruelly	P6_tail	core	2	
crumple	1	ĉif	ĉifi	to crease, crumble, crumple, rumple, wrinkle	P6_tail	extended	2	
crush	1	pist	pisti	to crush, pound, grind	P6_tail	core	2	
cub	1	leonid	leonido	cub (of lion)	P6_tail	core	2	
cucumber	1	kukum	kukumo	cucumber	P6_tail	core	1	
culprit	1	kulpul	kulpulo	culprit, delinquent	P6_tail	core	2	
cutter	1	kutr	kutro	cutter	P6_tail	tail	2	rare-anchor
