en_lemma	total_freq	action	eo_root	eo_word	eo_gloss	component_roots	proposed_tier	cefr	alt_candidates	flag	notes
stubborn	39	NEW	obstin	obstina	dogged, headstrong, obstinate, stubborn		1	A1	kontraŭstarema, malmolnuka, obstinega, rigidnuka	ok	
velvet	39	NEW	velur	velura	velvet		1	A1	veluro	ok	reclaimed from proper_noun — confirm not a name
fake	38	LINK	fals	falsa	counterfeit, fake, false, spurious, forged, wrong		1	A1	falsi, falsigi, falsofari, imitaĵa, imiti	ok	
fierce	38	NEW	feroc	feroca	fierce		1	A1	kruela, kruelega	ok	
flashlight	38	NEW	poŝlamp	poŝlampo	flashlight		1	A1		ok	
hairy	38	NEW	vil	vila	hairy, shaggy		1	A1	haraĵa, harhava, harkovrita	ok	
trap	38	LINK	kapt	kapti	to capture, catch, grapple, trap, ensnare, clutch, grasp, grab		1	A1	babiltruo, enfalujo, insido, interrompi, interrompo	ok	
tuna	38	NEW	tin	tino	tub, vat; tuna, tuna-fish		1	A1	tinuso	ok	reclaimed from proper_noun — confirm not a name
vine	38	NEW	vit	vito	vine, grapevine		1	A1	vitejo	ok	
cane	37	NEW	kan	kana	cane		1	A1	bastono, kano, vergi, vergo	ok	
cocoa	37	NEW	kaka	kakao	cocoa		1	A1		ok	
crane	37	NEW	gru	gruo	crane (bird)		1	A1	argano, ŝarĝlevilo	ok	
graceful	37	NEW	graci	gracia	graceful, gracious, slender, slim		1	A1		ok	
harbor	37	LINK	haven	haveno	harbor, port, haven, seaport		1	A1	kaŝgastigi	ok	reclaimed from proper_noun — confirm not a name
harmless	37	NEW	nenoc	nenoca	harmless		1	A1	senofenda, senriska	ok	
knight	37	NEW	kavalir	kavaliro	cavalier, knight, chevalier		1	A1		ok	
playful	37	NEW	blag	blaga	humorous, playful, mischievous		1	A1	ludema, petola, petolema, ŝercema	ok	
polish	37	NEW	cir	ciri	to polish		1	A1	ciro, frotpurigi, pola, poluraĵo, poluri	ok	
spike	37	NEW	spik	spiko	ear (of corn), spike		1	A1	alkoholigi, eksalto, najlego, pikaĵo	ok	reclaimed from proper_noun — confirm not a name
sticker	37	NEW	glumark	glumarko	sticker	glu+mark	1	A1	gluetikedo, sigelmarko, transgluaĵo	compound	
swan	37	NEW	cign	cigno	swan		1	A1		ok	
triangle	37	NEW	triangul	triangulo	triangle		1	A1	trilatero	ok	
trophy	37	NEW	trofe	trofeo	trophy		1	A1	venksigno	ok	
hammer	36	NEW	ĉan	ĉano	hammer (of a gun), trigger		1	A1	draŝi, frapofingrado, marteli, martelo, martelumi	ok	
knot	36	NEW	maŝ	maŝo	knot, link, loop, mesh, mail (armor)		1	A1	bantigi, banto, lignotubero, ligtubero, nodi	ok	
mask	36	NEW	mask	maski	to mask		1	A1	masko	ok	
scissor	36						1	A1		no_match	
snap	36	LINK	klak	klako	click, snap		1	A1	ataketi, kraketi, kraki	ok	reclaimed from proper_noun — confirm not a name
spill	36	NEW	disverŝ	disverŝi	to spill		1	A1		ok	
attic	35	NEW	atik	atika	Attic		1	A1	atiko, mansardo, subtegmentejo, subtegmento, tegmentĉambro	ok	
flap	35	LINK	klak	klaki	to chatter, clap, click, rattle, flap, slap, smack		1	A1	klapo, paniketo, plaŭdi, postklapo, tumulteto	ok	
horn	35	NEW	korn	korno	hooter, horn, klaxon		1	A1	aŭtokorno, hupilo	ok	
laser	35	NEW	laser	lasera	laser		1	A1	lasero	ok	reclaimed from proper_noun — confirm not a name
meow	35	NEW	miaŭ	miaŭi	to meow, mew		1	A1	miaŭo	ok	reclaimed from proper_noun — confirm not a name
pigeon	35	NEW	kolomb	kolomba	of a dove, pigeon		1	A1	domkolombo, kolombo, palumbo	ok	reclaimed from proper_noun — confirm not a name
rat	35	NEW	rat	rato	rat		1	A1		ok	reclaimed from proper_noun — confirm not a name
shrimp	35	NEW	salikok	salikoko	prawn, shrimp		1	A1	markankreto, salikoketo	ok	
thread	35	NEW	tred	tredi	to thread		1	A1	fadenigi, fadeno, mesaĝaro, surfadenigi, ŝnurero	ok	
zebra	35	NEW	zebr	zebro	zebra		1	A1		ok	
axe	34	NEW	hakil	hakilo	axe, chopper, hatchet		1	A1	toporo	ok	
chamber	34	NEW	kamer	kamero	chamber, darkroom, small room		1	A1	bareleto, ĉambra, ĉambro	ok	
clapping	34						1	A1		no_match	
folder	34	NEW	kajer	kajero	copybook, exercise book, folder, notebook, pamphlet, workbook		1	A1	dosierujaj, dosierujo, paperujo	ok	
hay	34	NEW	fojn	fojno	hay		1	A1		ok	reclaimed from proper_noun — confirm not a name
mailbox	34	NEW	poŝtuj	poŝtujo	mailbox		1	A1	leterkesto, poŝtskatolo, retkesto	ok	
miserable	34	NEW	mizer	mizera	abject, dismal, meager, miserable, wretched		1	A1	bedaŭriga, katastrofa, kompatinda, malbona, malfeliĉiga	ok	
sniff	34	NEW	enflar	enflari	to sniff		1	A1		ok	
spaghetti	34	NEW	spaget	spageto	spaghetti		1	A1		ok	
beep	33	NEW	pep	pepi	to chirp, peep, twitter, warble, beep		1	A1	pepo	ok	reclaimed from proper_noun — confirm not a name
bossy	33	NEW	regem	regema	bossy		1	A1	estrema, oficialema	ok	
envelope	33	NEW	kovert	koverto	envelope		1	A1	envelopo, envolvaĵo, sonprofilo	ok	
firework	33	NEW	artfajraĵ	artfajraĵo	firework	art+fajr	1	A1		compound	
fragile	33	NEW	kaduk	kaduka	decayed, decrepit, dilapidated, rickety, frail, fragile, inoperative		1	A1	delikata, facilrompa, facilrompebla, fragila, frakasiĝebla	ok	
harsh	33	NEW	aspr	aspra	rough, harsh		1	A1	acerba, adstringa, bruta, malafabla, maldelikata	ok	
hook	33	NEW	hok	hoki	to hook		1	A1	agrafo, hoko, kroĉi, kroĉilo, lignanajlo	ok	
jolly	33	NEW	gajeg	gajega	jolly		1	A1		ok	
modest	33	NEW	pudor	pudora	modest		1	A1	decmora, modesta, neluksa, senluksa	ok	
ow	33	NEW	a	aj	ow, ouch, oh		1	A1	prezentado	ok	reclaimed from proper_noun — confirm not a name
pebble	33	NEW	ŝtonet	ŝtoneto	pebble		1	A1	marŝtono	ok	
pie	33	NEW	tort	torto	pie, tart, pastry		1	A1	pasteĉo, pirogo	ok	
razor	33	NEW	razil	razilo	razor		1	A1		ok	
squash	33	NEW	skvaŝ	skvaŝo	squash		1	A1	dispremi, kukurbo, kunpremegi, murbalo, premegi	ok	reclaimed from proper_noun — confirm not a name
disgust	32	NEW	naŭz	naŭzi	to disgust, nauseate		1	A1	abomenigi, abomeno, forpuŝi, naŭzo	ok	
envious	32	NEW	envi	envia	envious		1	A1	enviema	ok	
faucet	32	NEW	kran	krano	cock, faucet, tap, spigot		1	A1		ok	reclaimed from proper_noun — confirm not a name
goose	32	NEW	anser	ansero	goose		1	A1	anseraĵo, anserino	ok	reclaimed from proper_noun — confirm not a name
grin	32	NEW	grimac	grimaci	to grimace, grin	gri+mac	1	A1		compound	
heal	32	LINK	kurac	kuraci	to care for, cure, heal, remedy, treat		1	A1	bonsani, kuraciĝi, resanigi, resaniĝi, sanigi	ok	
muffin	32						1	A1		no_match	
snowy	32	LINK	neĝ	neĝa	snowy		1	A1	neĝkovrita	ok	reclaimed from proper_noun — confirm not a name
tease	32	NEW	taŭz	taŭzi	to dishevel, tousle, disorder, hustle, jostle, comb, tease (hair)		1	A1	inciteti, moketi	ok	
thoughtful	32	NEW	pensem	pensema	pensive, thoughtful		1	A1	antaŭzorga, konsiderema, meditema, pripensa, pripensema	ok	
tuck	32						1	A1		no_match	
beetle	31	NEW	skarab	skarabo	beetle, scarabaeus, scarab		1	A1	koleoptero	ok	
blackboard	31				blackboard		1	A1	nigra skribtabulo, nigra tabulo	no_match	reclaimed from proper_noun — confirm not a name
bump	31	NEW	ĝib	ĝibo	bump, hump		1	A1	alkrementi, bolveziko, ĝibaĵo, ĝibeto, malebenaĵo	ok	
chimney	31	NEW	kamentub	kamentubo	chimney, smokestack, stack, flue		1	A1	fumtubo	ok	
distant	31	LINK	for	for	away, distant, far (off, away), forth, gone		1	A1	dista, fora, lontana, malintima, malproksima	ok	reclaimed from proper_noun — confirm not a name
filthy	31	NEW	fi	fia	base, disgusting, nasty, shameful, filthy, dirty, vile		1	A1	kota, malpura, malpurega	ok	
gloomy	31	LINK	nub	nuba	cloudy, overcast, gloomy, obscure, unclear		1	A1	funebra, malluma, melankolia, morna	ok	
golden	31	LINK	or	ora	golden		1	A1	orblonda, orkolora	ok	
growl	31	NEW	graŭl	graŭli	to growl		1	A1	blekadi, grumbli, murmuregi, murmurego	ok	
hoop	31	NEW	ringeg	ringego	hoop		1	A1	barelringo	ok	
leopard	31	NEW	panter	pantero	leopard, panther		1	A1	leopardo	ok	reclaimed from proper_noun — confirm not a name
louder	31						1	A1		no_match	
mechanic	31	NEW	metiist	metiisto	artisan, mechanic, operative, blue-collar worker		1	A1	meĥanikisto, mekanikisto, motoristo	ok	
mill	31	NEW	frez	frezi	to mill-cut, mill		1	A1	muelejo, muelilo, uzino	ok	
pastel	31	NEW	paŝtel	paŝtelo	crayon, pastel		1	A1	paŝtelaĵo	ok	
pill	31	NEW	pilol	pilolo	pill		1	A1		ok	
pup	31	NEW	hundid	hundido	pup, puppy		1	A1		ok	reclaimed from proper_noun — confirm not a name
swamp	31	NEW	marĉ	marĉo	marsh, swamp		1	A1	malsekejo, marĉejo	ok	
vendor	31	NEW	vendant	vendanto	seller, vendor		1	A1	vendisto	ok	
zigzag	31	NEW	zigzag	zigzaga	zigzag		1	A1	zigzagi, zigzago	ok	reclaimed from proper_noun — confirm not a name
compassionate	30	NEW	kompat	kompata	compassionate, kind		1	A1	kompatema	ok	
creek	30	NEW	riveret	rivereta	small river, creek, stream		1	A1	montkolo	ok	
flutter	30	NEW	agit	agito	agitation, commotion, disturbance, excitement, flutter, turmoil		1	A1	agitacio, flirti, flugeti, veteto, vibrado	ok	
lemonade	30	NEW	limonad	limonado	lemonade		1	A1		ok	reclaimed from proper_noun — confirm not a name
lollipop	30						1	A1		no_match	
loop	30	NEW	maŝ	maŝo	knot, link, loop, mesh, mail (armor)		1	A1	banto, buklo, iteracii, iteracio, kurbiĝi	ok	reclaimed from proper_noun — confirm not a name
mixer	30	NEW	miksil	miksilo	mixer, scrambler		1	A1		ok	
perfume	30	NEW	parfum	parfumi	to perfume		1	A1	parfumo	ok	
pumpkin	30	NEW	kukurb	kukurbo	gourd, pumpkin, squash		1	A1		ok	
veil	30	LINK	kaŝ	kaŝi	to conceal, hide, veil		1	A1	kovri, kovrotuko, kurteno, vuali, vualo	ok	
wheat	30	NEW	tritik	tritiko	wheat		1	A1		ok	
yawn	30	NEW	faŭk	faŭki	to gape, yawn		1	A1	oscedi, oscedo, oscedoado	ok	
awe	29	LINK	terur	teruro	alarm, terror, panic, awe, dread, fright		1	A1	admirego, imponegeco, imponegi, timego	ok	reclaimed from proper_noun — confirm not a name
pause	29	LINK	paŭz	paŭzi	to pause, take a break, take a rest		1	A1	paǔzi, paŭzigi, paŭzo, paŭzu	ok	
pedal	29	NEW	pedal	pedala	pedal		1	A1	pedali, pedalo, podajro	ok	
petal	29	NEW	petal	petalo	petal		1	A1	florfolieto, florfolio	ok	
pine	29	NEW	pin	pino	pine (tree)		1	A1	konsumiĝi, pinio, pinligna	ok	reclaimed from proper_noun — confirm not a name
rug	29	LINK	tapiŝ	tapiŝo	carpet, rug		1	A1	tapiŝeto	ok	
sausage	29	NEW	kolbas	kolbaso	sausage, salami		1	A1	kolbaseto	ok	
scooter	29	NEW	skutil	skutilo	scooter		1	A1	trotilo	ok	
snowman	29	NEW	neĝhom	neĝhomo	snowman	neĝ+hom	1	A1	neĝviro	compound	
snuggle	29						1	A1		no_match	
sunflower	29	NEW	heliant	helianto	sunflower		1	A1	sunfloro	ok	reclaimed from proper_noun — confirm not a name
yacht	29	NEW	jakt	jakto	yacht		1	A1	jaĥto, ŝipeto	ok	
yogurt	29	NEW	jahurt	jahurto	yogurt		1	A1	jogurto	ok	reclaimed from proper_noun — confirm not a name
boo	28	LINK	h	hu	boo		1	A1	huadi, huado, hui, prifajfi	ok	reclaimed from proper_noun — confirm not a name
comb	28	NEW	komb	kombi	to comb		1	A1	kombilo, kresto, taŭzi	ok	
jelly	28	NEW	ĵele	ĵeleo	jelly		1	A1	gelatenaĵo, ĝelateno	ok	
massage	28	NEW	masaĝ	masaĝi	to massage		1	A1	masaĝo	ok	
nicely	28	NEW	plaĉ	plaĉe	nicely, pleasantly, pleasingly		1	A1	simpatie	ok	
peach	28	NEW	persik	persiko	nectarine, peach		1	A1		ok	reclaimed from proper_noun — confirm not a name
refresh	28	NEW	aktualig	aktualigi	to refresh, update		1	A1	refreŝigi, refreŝiĝi	ok	
sandcastle	28	NEW	sablokastel	sablokastelo	sandcastle	sabl+ok+stel	1	A1		compound	
scatter	28	NEW	ŝut	ŝuti	to dump, pour (out), scatter, tip		1	A1	disblovi, disĵeti, dispersi, dissemi, dissemiĝi	ok	
stitch	28	NEW	kudr	kudri	to stitch, sew, tack		1	A1	flankdoloro, kudrero, stebero, stebi	ok	
tray	28	LINK	plad	plado	course, dish, plate, platter, tray		1	A1	pleto, trabo	ok	
trumpet	28	NEW	trumpet	trumpeti	to trumpet		1	A1	distrumpeti, kornblovi, trumpetadi, trumpeto	ok	
tweet	28	NEW	pepaĵ	pepaĵo	tweet		1	A1	kviviti	ok	reclaimed from proper_noun — confirm not a name
amazement	27	LINK	mir	miro	amazement, astonishment, wonder, surprise		1	A1	mirego	ok	
bandage	27	NEW	pans	pansi	to bandage, put a band-aid on, dress (wound)		1	A1	bandaĝi, bandaĝo, ĉirkaŭligaĵo, pansaĵo, pansbendo	ok	
calendar	27	NEW	kalendar	kalendara	calendar		1	A1	kalendaraj, kalendaro	ok	
cuddle	27	NEW	karesprem	karespremi	to cuddle, hug	kares+prem	1	A1	premkaresi	compound	
drawer	27	NEW	tratant	tratanto	drawer		1	A1	tirkesto	ok	
eagerly	27	NEW	avid	avide	eagerly, avidly		1	A1	entuziasme	ok	
helpless	27	NEW	senhelp	senhelpa	helpless		1	A1		ok	
hut	27	NEW	bud	budo	barn, shed, stand, stall, hut, booth, cabana, kiosk		1	A1	ĥato, kabano	ok	reclaimed from proper_noun — confirm not a name
lid	27	NEW	kovril	kovrilo	cover, hood, lid, wrapper		1	A1	fermplato, potkovrilo	ok	
microscope	27	NEW	mikroskop	mikroskopo	microscope		1	A1		ok	
neighbourhood	27						1	A1		no_match	
rake	27	NEW	erp	erpi	to harrow, rake, till, plow		1	A1	enfili, malĉastulo, rasti, rastilo	ok	
reverse	27	NEW	invers	inversa	inverse, inverted, reverse, reversed		1	A1	dorsflanko, inversaĵo, inversigi, malantaŭenigi, malprogresigi	ok	
rod	27	NEW	verg	vergo	cane, rod, switch, wand, stick, staff		1	A1	bastono, stango	ok	reclaimed from proper_noun — confirm not a name
scoop	27	NEW	deĉerp	deĉerpi	to draw (water), ladle, scoop		1	A1	kulerego	ok	
softly	27	LINK	mol	mole	gently, softly, tenderly		1	A1	kareseme, kviete, mallaŭte	ok	
strawberry	27	NEW	frag	frago	strawberry		1	A1		ok	
sunset	27	NEW	sunsubir	sunsubiro	sunset		1	A1		ok	
tug	27	LINK	tir	tiri	to drag, draw, haul, pull, tug, tow		1	A1	ektiri, posttreni, tiro, trenŝipo	ok	
zipper	27	NEW	zip	zipo	zipper		1	A1	fulmofermilo, zipfermilo, zipligilo	ok	
crib	26	NEW	fikopi	fikopii	to crib		1	A1	klaplito, ŝtelrigardi	ok	
dishwasher	26	NEW	vazlavil	vazlavilo	dishwasher	vaz+lav	1	A1	telerlavisto	compound	
dive	26	NEW	plonĝ	plonĝi	to dive, plunge		1	A1	subakviĝi	ok	
fascinated	26	NEW	fascinit	fascinita	fascinated, gripped		1	A1		ok	
fireman	26	NEW	hejtist	hejtisto	fireman, stoker		1	A1	brulestingisto, fajrestingisto, fajrobrigadisto	ok	
forth	26	LINK	for	for	away, distant, far (off, away), forth, gone		1	A1	antaŭen	ok	
gaze	26	NEW	rigardeg	rigardegi	to gaze, stare		1	A1	fiksrigardi	ok	
gear	26	NEW	ilar	ilaro	gear, tackle, apparatus, equipment, tool box, tool set, toolbar, toolkit		1	A1	dentorado, dentrado, rapidumo	ok	
kangaroo	26	NEW	didelf	didelfo	kangaroo, opossum		1	A1	kanguruo, makropo	ok	reclaimed from proper_noun — confirm not a name
pastry	26	NEW	tort	torto	pie, tart, pastry		1	A1	farunaĵo, kukaĵo, pasteco	ok	
shiver	26	LINK	trem	tremi	to quiver, shiver, tremble, shake, tremble		1	A1	ekscitiĝeto, frostotremi, tremeri, tremeti	ok	
spade	26	LINK	fos	fosi	to dig, grub, spade, excavate		1	A1	fosilo, piko, platfosilo, ŝpato, trafosi	ok	
worm	26	NEW	verm	vermo	worm		1	A1	enŝoviĝi, ŝraŭbokanelo	ok	
yoga	26	NEW	jog	jogo	yoga		1	A1		ok	
apron	25	NEW	manovrej	manovrejo	apron		1	A1	antaŭtuko, proscenio	ok	
beak	25	NEW	bek	beko	beak, bill		1	A1		ok	
beneath	25	LINK	sub	sub	below, beneath, under, underneath		1	A1		ok	
breeze	25	NEW	briz	brizo	breeze		1	A1	bloveto, venteto	ok	
counter	25	NEW	giĉet	giĉeto	(ticket) window, counter		1	A1	butiktablo, komptilo, ludmarko, nombrilo, vendotablo	ok	
deaf	25	NEW	surd	surda	deaf		1	A1		ok	reclaimed from proper_noun — confirm not a name
disturb	25	LINK	ĝen	ĝeni	to bother, disturb, hinder, trouble, make uncomfortable		1	A1	interrompi, konfuzi, kornaŭzigi, maloportuni, malordigi	ok	
dough	25	NEW	past	pasto	dough, paste		1	A1	fermentaĵo, knedaĵo	ok	
gum	25	NEW	gum	gumi	to erase, gum, smear (with gum)		1	A1	dentkarno, dentokarno, gingiva, gingivo, gumo	ok	
herb	25	LINK	herb	herbo	grass, herb		1	A1		ok	
hiding	25	LINK	kaŝ	kaŝo	concealment, (act of) hiding, obfuscation		1	A1	enkapsuligo, kasigo, kaŝado, kaŝanta	ok	reclaimed from proper_noun — confirm not a name
ink	25	NEW	ink	inki	to ink		1	A1	inko	ok	
missile	25	NEW	misil	misila	missile		1	A1	ĵetarmilo, misilo, raketo	ok	
panda	25	NEW	pand	pando	panda		1	A1		ok	
penguin	25	NEW	pingven	pingveno	penguin		1	A1	aptenodito, pingvino	ok	
quarrel	25	NEW	disput	disputo	contest, debate, dispute, quarrel, polemic, strife		1	A1	kvereli, kverelo, malpaci, malpaco	ok	
reef	25	NEW	ref	refi	to reef (sail)		1	A1	refo, rifo	ok	
scare	25	NEW	timig	timigi	to affright, alarm, frighten, intimidate, scare		1	A1	fortimigi, timigo	ok	
scratch	25	NEW	grat	grati	to scratch		1	A1	ekskoriacio, frotvundo, grataĵo, grato, gratvundi	ok	
shrink	25	NEW	etig	etigi	to belittle, shrink, dwarf		1	A1	alienisto, kuntiriĝi, malpliiĝi, ŝrumpi, ŝrumpigi	ok	
tap	25	NEW	kran	krano	cock, faucet, tap, spigot		1	A1	bateti, boratingi, elkrani, frapeti, kaŝaŭskulti	ok	
ash	24	NEW	cindr	cindro	ash(es), cinder		1	A1	cindrokolora, cindropolvo, frakseno	ok	
bracelet	24	NEW	bracelet	braceleto	bracelet		1	A1	brakringo, ĉirkaŭbrako, ĉirkaŭmano	ok	
collar	24	NEW	fret	freto	collar, ferrule, fret		1	A1	ĉirkaŭkolo, kolrimeno, kolumo	ok	
fearful	24	NEW	timigit	timigita	afraid, fearful		1	A1		ok	
gust	24	NEW	ekvent	ekvento	gust (of wind)		1	A1	ekventego	ok	
igloo	24	NEW	igl	iglo	igloo		1	A1	igluo	ok	reclaimed from proper_noun — confirm not a name
jail	24	NEW	prizon	prizono	jail, prison		1	A1	arestejo, enprizonigi, malliberejo, malliberigi, malliberulejo	ok	
lime	24	LINK	kalk	kalko	lime		1	A1	kalkumi, limedo, limeto, tilia	ok	reclaimed from proper_noun — confirm not a name
oat	24						1	A1		no_match	
paddle	24	NEW	padel	padeli	to paddle		1	A1	padelo, pagaji, pagajo, remeti	ok	
palm	24	NEW	palm	palmo	palm, palm tree		1	A1	manplato, polmo	ok	
pat	24	NEW	frapet	frapeti	to pat, tap, rap		1	A1		ok	reclaimed from proper_noun — confirm not a name
pinch	24	NEW	pinĉ	pinĉi	to nip, pinch		1	A1	pinĉegi, subŝteli, trompŝteli	ok	
popcorn	24	NEW	krevmaiz	krevmaizo	popcorn		1	A1		ok	
shampoo	24	NEW	ŝampu	ŝampui	to shampoo		1	A1	harsapo, ŝampuo	ok	
stack	24	LINK	stak	staki	to stack		1	A1	akumuli, cilindro, garbaro, kamentubo, kolono	ok	
suitcase	24	NEW	kofr	kofro	chest, coffer, suitcase, trunk		1	A1	valizo	ok	
sunlight	24	NEW	sunlum	sunlumo	sunlight	sun+lum	1	A1		compound	
birdcage	23						1	A1		no_match	
bravely	23	NEW	brav	brave	bravely		1	A1	kuraĝanime	ok	
chess	23	NEW	ŝak	ŝako	check, chess		1	A1	ŝakludo	ok	
clearing	23	NEW	maldensej	maldensejo	clearing (in a forest), glade		1	A1		ok	
copper	23	NEW	kupr	kupra	copper		1	A1	kupro, kuprokolora, kupromonero	ok	reclaimed from proper_noun — confirm not a name
gorilla	23	NEW	goril	gorilo	gorilla		1	A1		ok	reclaimed from proper_noun — confirm not a name
haircut	23						1	A1		no_match	
humble	23	NEW	humil	humila	humble, lowly, submissive		1	A1	humiligi, malfiera, senfiera	ok	
jerry	23	NEW	germanaĉ	germanaĉo	Hun, Jerry, Kraut (pejorative word for a German)		1	A1		ok	reclaimed from proper_noun — confirm not a name
makeup	23						1	A1		no_match	
microphone	23	NEW	mikrofon	mikrofono	microphone		1	A1		ok	
oats	23	NEW	aven	aveno	oats		1	A1		ok	
opera	23	NEW	oper	opero	opera		1	A1		ok	
scrub	23	NEW	vepr	vepro	bush, brushwood, scrub		1	A1	frotlavi, frotpurigi	ok	
skeleton	23	NEW	fram	framo	frame, framework, substructure, skeleton		1	A1	ostaro, skeleto	ok	reclaimed from proper_noun — confirm not a name
sofa	23	NEW	sof	sofo	sofa		1	A1	kanapo	ok	
thumb	23	NEW	poleks	polekso	thumb	pol+eks	1	A1	dikfingro	compound	
vroom	23						1	A1		no_match	
anchor	22	NEW	ankr	ankri	to anchor		1	A1	ankero, ankro, ankrumi, marŝtopilo	ok	
applaud	22	NEW	aklam	aklami	to acclaim, applaud, hail		1	A1	aplaŭdi, ovacii	ok	
grape	22	NEW	uv	uvo	grape		1	A1	traŭbo, vinbero	ok	
infant	22	LINK	infan	infano	child, infant		1	A1	infaneto	ok	
magnet	22	NEW	magnet	magneto	loadstone, magnet		1	A1		ok	
perch	22	NEW	perk	perko	bass, perch (fish)		1	A1	birdostarejo, stango	ok	
pride	22	LINK	fier	fiero	pride		1	A1	fieraĵo, fiereco, malhumileco, orgojlo	ok	
restless	22	NEW	malkviet	malkvieta	restless, noisy, unquiet		1	A1	maltrankvila, neripozema	ok	
rot	22	NEW	putr	putri	to decay, decompose, putrefy, rot, fester		1	A1	putriĝi	ok	
scurry	22						1	A1		no_match	
avocado	21	NEW	avokad	avokado	avocado		1	A1	avokadarbo, avokadoarbo, avokadujo	ok	
bang	21	NEW	knal	knali	to bang, explode, burst, make a loud sound		1	A1	brufermi, ekbrui, ekbruo, fermegi, ĵetfermi	ok	reclaimed from proper_noun — confirm not a name
dare	21	NEW	aŭdac	aŭdaci	to dare, have the audacity (to)		1	A1	kuraĝi, maltimi	ok	
darkness	21	NEW	malhel	malhelo	darkness		1	A1	mallumeco, mallumo, tenebro	ok	
fuzzy	21	NEW	svag	svaga	vague, fuzzy		1	A1	malpreciza, nebula	ok	reclaimed from proper_noun — confirm not a name
granny	21	NEW	avinj	avinjo	granny		1	A1		ok	reclaimed from proper_noun — confirm not a name
helmet	21	NEW	kask	kasko	helmet		1	A1		ok	
kneel	21	LINK	genu	genui	to kneel		1	A1	genufleksi, genuiĝi, surgenui, surgenuiĝi	ok	
ornament	21	NEW	dekor	dekori	to adorn, decorate, ornament		1	A1	ornamaĵo, ornami, ornamo	ok	
soak	21	NEW	tremp	trempi	to dip, immerse, plunge, soak, steep		1	A1	trasorbigi, trempiĝi	ok	
thunder	21	NEW	tondr	tondri	to thunder		1	A1	tondro, tondrobruo	ok	
tickle	21	NEW	tikl	tikli	to tickle		1	A1	tiklo	ok	
trail	21	NEW	spur	spuri	to trace, trail, track		1	A1	malantaŭiri, piedsigno, spuro, treni, treniĝi	ok	
twinkle	21	NEW	brilet	brileti	to scintillate, twinkle		1	A1	brileto, ekbrileti	ok	reclaimed from proper_noun — confirm not a name
twisted	21						1	A1		no_match	
unite	21	NEW	kupl	kupli	to couple, join (up), unite, connect		1	A1	fratigi, interfratigi, kunigi, kuniĝi, kunligi	ok	reclaimed from proper_noun — confirm not a name
unpack	21	NEW	elpak	elpaki	to unpack		1	A1	elkestigi, malpaki	ok	
veterinarian	21	NEW	veterinar	veterinaro	veterinarian		1	A1	bestkuracisto, bestokuracisto	ok	reclaimed from proper_noun — confirm not a name
waist	21	LINK	zon	zono	shingles (disease), herpes zoster; waist, belt, girdle; zone, area, selection		1	A1	tailo, talimezuro, talio	ok	
whip	21	NEW	vip	vipi	to whip		1	A1	batmiksi, instigisto, kirli, skurĝi, skurĝo	ok	
adorable	20	NEW	adorind	adorinda	adorable		1	A1		ok	
bookcase	20	NEW	bretar	bretaro	set of shelves, cabinet, shelves, shelving, bookcase		1	A1	librobretaro, libroŝranko	ok	
cart	20	LINK	ĉar	ĉaro	car, cart, chariot		1	A1	ĉarelo, ĉareto, ŝarĝoveturilo, veturigi	ok	
cereal	20	LINK	gren	greno	corn, grain, cereal		1	A1	cerealaĵo, cerealo, panherbo	ok	
cheek	20	NEW	vang	vango	cheek, jowl		1	A1		ok	
chore	20	NEW	farotaĵ	farotaĵo	thing to be done, chore		1	A1		ok	
fort	20	NEW	fuort	fuorto	stronghold, fort		1	A1	fortikaĵeto, fortikaĵo, kastelo	ok	
grill	20	NEW	krad	krado	lattice, crossbars, grate, grid, grill, grating, hash, pound sign, number sign, sharp sign		1	A1	kradrosti, kradrostilo	ok	
hedge	20	NEW	heĝ	heĝo	hedge		1	A1	kreskaĵbarilo, plektobarilo	ok	
jellyfish	20	NEW	meduz	meduzo	jellyfish		1	A1		ok	
overjoy	20						1	A1		no_match	
porch	20	NEW	vestibl	vestiblo	entrance hall, lobby, porch, vestibule		1	A1	portiko, verando	ok	
rag	20	NEW	rag	rago	rag		1	A1	ĉifono, gazetaĉo	ok	
rhinoceros	20	NEW	rinocer	rinocero	rhino, rhinoceros		1	A1		ok	
ribbon	20	NEW	galon	galono	galloon, piping, ribbon, tinsel, trim, cord, lace, stripe		1	A1	rubando	ok	
screw	20	LINK	al	alo	branch, wing (of a car, building, screw, etc.)		1	A1	fiki, ŝraŭba, ŝraŭbi, ŝraŭbo	ok	reclaimed from proper_noun — confirm not a name
shrug	20	NEW	altig	altigi	to elevate, shrug, raise		1	A1	ŝultrlevi, ŝultrolevi, ŝultrotiri, ŝultrumi, ŝutrotiri	ok	
slap	20	LINK	klak	klaki	to chatter, clap, click, rattle, flap, slap, smack		1	A1	vangofrapo	ok	
slippery	20	LINK	glat	glata	sleek, slippery, smooth, slick		1	A1	elturniĝema, glita, glitiga	ok	
thermometer	20	NEW	termometr	termometro	thermometer	term+metr	1	A1		compound	
unlock	20	NEW	malŝlos	malŝlosi	to unlock		1	A1	malŝloso	ok	
vest	20	NEW	veŝt	veŝto	vest, waistcoat		1	A1	jaketo, subĉemizo	ok	
warmth	20	LINK	varm	varmo	warmth		1	A1	varmeco	ok	
weep	20	LINK	larm	larmi	to cry, shed tears, weep		1	A1	funebri, ploradi, plori	ok	
