token	total_count	universality	is_propn	is_name_cased	zipf
milano	1	1	1	1	3.17
milton	1	1	1	1	3.84
ministers	1	1	1	1	4.34
mira	1	1	1	1	3.27
mmmm	1	1	1	1	3.05
moldova	1	1	1	1	3.17
mommmyyyy	1	1	1	1	0.0
moring	1	1	1	1	1.8
municipiului	1	1	1	1	0.0
muy	1	1	1	1	2.46
mygts	1	1	0	1	0.0
nafta	1	1	1	1	3.14
narciso	1	1	1	1	2.1
nemzeti	1	1	1	1	1.06
nooooo	1	1	1	1	2.63
nope	1	1	1	1	4.26
nsbs	1	1	1	1	0.0
nyugat	1	1	1	1	1.07
odesa	1	1	1	1	1.58
odessa	1	1	1	1	3.2
oleg	1	1	1	1	3.14
ooh	1	1	1	1	3.76
osenbrüggen	1	1	1	1	0.0
outward	1	1	1	1	3.52
pacific	1	1	1	1	4.59
paradigmes	1	1	1	1	0.0
paraguay	1	1	1	1	3.23
passports	1	1	1	1	3.52
pca	1	1	1	1	2.88
persons	1	1	1	1	4.43
peru	1	1	1	1	3.89
peters	1	1	1	1	3.7
phd	1	1	0	1	4.07
philippines	1	1	1	1	4.29
poland	1	1	1	1	4.24
portuguese	1	1	1	1	4.03
pow	1	1	1	1	3.44
prax	1	1	1	1	1.58
preheat	1	1	0	1	2.9
prices	1	1	0	1	4.88
problems	1	1	0	1	5.19
products	1	1	1	1	5.04
publice	1	1	1	1	0.0
puzzles	1	1	1	1	3.55
rauch	1	1	1	1	2.32
ravens	1	1	1	1	3.66
redex	1	1	1	1	0.0
regionális	1	1	1	0	0.0
reiser	1	1	1	1	2.21
remedies	1	1	1	1	3.83
rica	1	1	1	1	3.75
rinnert	1	1	1	1	0.0
rohm	1	1	1	1	2.0
romania	1	1	1	1	3.78
românia	1	1	1	1	1.15
rotterdam	1	1	1	1	3.19
routiers	1	1	1	1	1.2
rovetta	1	1	1	1	0.0
rraaaaaaaawr	1	1	1	1	0.0
rrrr	1	1	1	1	1.56
russia	1	1	1	1	4.93
rwanda	1	1	1	1	3.53
sa	1	1	1	1	4.3
sakalauskas	1	1	1	1	0.0
savannah	1	1	1	0	3.62
sc	1	1	1	1	4.18
scerni	1	1	1	1	0.0
schenker	1	1	1	1	2.08
seals	1	1	1	1	3.85
secex	1	1	1	1	0.0
selena	1	1	1	1	3.25
semiconductor	1	1	1	1	3.53
serbia	1	1	1	1	3.71
servicing	1	1	0	1	3.44
sida	1	1	1	1	2.15
siemens	1	1	1	1	3.33
simmi	1	1	1	1	1.53
sis	1	1	1	1	3.63
slovakia	1	1	1	1	3.4
sofishticated	1	1	0	1	0.0
spa	1	1	0	1	3.96
spain	1	1	1	1	4.59
sparkles	1	1	1	1	2.9
spirits	1	1	1	1	4.16
ss	1	1	1	1	4.1
staatssecretaris	1	1	1	1	0.0
stricter	1	1	1	0	3.23
stuttgart	1	1	1	1	3.2
su	1	1	1	0	3.92
sundays	1	1	1	1	3.75
swedish	1	1	1	1	4.21
swiss	1	1	1	1	4.21
sàrl	1	1	1	1	0.0
taipei	1	1	1	1	3.32
tanzania	1	1	1	1	3.57
tc	1	1	1	1	3.52
theend	1	1	1	0	1.3
theyse	1	1	1	1	0.0
tnt	1	1	1	1	3.31
trump	1	1	1	1	4.93
tsenov	1	1	1	1	0.0
tunisia	1	1	1	1	3.57
ufficio	1	1	1	1	1.47
unpaid	1	1	1	1	3.73
uruguay	1	1	1	1	3.7
usmca	1	1	1	1	1.59
valantiejus	1	1	1	1	0.0
vamale	1	1	1	1	0.0
vermulst	1	1	1	1	0.0
vermögensverwaltung	1	1	1	1	0.0
verona	1	1	1	1	3.13
vytautas	1	1	1	1	1.57
vámhivatal	1	1	1	1	0.0
webinar	1	1	1	1	3.25
whew	1	1	0	1	3.24
xhe	1	1	1	0	1.28
yea	1	1	1	1	4.26
yippee	1	1	1	1	2.41
zandra	1	1	1	1	1.8
zealand	1	1	1	1	4.5
